client_name,client_id,site_id,operational_start,open_year,proforma_y1,proforma_y2,proforma_y3,proforma_y4,proforma_y5,model5_y1,model5_y2,model5_y3,model5_y4,model5_y5,actual_y1,actual_y2,actual_y3,actual_y4,actual_y5,actual_mature_wash,model5_mature
Floris Car Wash,floriscarwash_000233,1.0,06-2020,2020,2738.0,3614.0,3990.0,4095.0,4419.0,7121.0,10202.0,10658.0,11355.0,10416.0,7121,12274,13098.0,12792.0,9001.0,11816,9924.0
Rock N Roll Stuart,rocknrollexpress_000224,1.0,06-2020,2020,7263.0,9586.0,10583.0,10863.0,11721.0,5601.0,7271.0,7263.0,7514.0,6832.0,2458,4189,5888.0,6548.0,6352.0,2229,6923.0
JJ Express Car Wash,jjexpresscw_000427,1.0,06-2022,2022,4602.0,6073.0,6705.0,6950.0,7499.0,3785.0,5488.0,5556.0,5576.0,5109.0,4600,6781,5650.0,4694.0,4986.0,4556,5196.0
The Auto Spa @ University,mainstreet_000067,3.0,06-2023,2023,2145.0,2831.0,3065.0,3177.0,3427.0,3337.0,4209.0,4023.0,3945.0,3486.0,6494,9199,9616.0,6417.0,,9766,3979.0
Brookhurst Express Car Wash,brookhurstexpresscw_000235,1.0,07-2020,2020,9350.0,12340.0,13357.0,13845.0,14938.0,4484.0,6742.0,6941.0,7086.0,6517.0,4049,10137,8747.0,8069.0,9154.0,7362,6424.0
Glacier Express King Ave,glacierexpress_000240,1.0,07-2020,2020,6505.0,8586.0,9293.0,9633.0,10393.0,4305.0,5701.0,5496.0,5252.0,4761.0,9217,12905,11380.0,9260.0,8207.0,6108,5304.0
Hero CarWash,herocarwash_000253,1.0,07-2020,2020,7099.0,9370.0,10142.0,10513.0,11343.0,5512.0,6915.0,7245.0,8312.0,8117.0,3359,4477,3715.0,2431.0,,3324,6530.0
Aqua Shine Greenville,revexpress_000340,1.0,07-2021,2021,6179.0,8156.0,8915.0,9150.0,9873.0,6060.0,8403.0,8703.0,9251.0,8492.0,4548,4703,5004.0,4232.0,4418.0,4180,8119.0
Cadillac Express Cullen,cadillacexpresscw_000080,7.0,07-2023,2023,5516.0,7281.0,7959.0,8250.0,8814.0,7708.0,10493.0,10555.0,10819.0,9736.0,5138,7470,7749.0,,,7788,10097.0
Seaford Car Wash,seafordcarwash_000354,1.0,08-2021,2021,4248.0,5607.0,6069.0,6291.0,6788.0,1088.0,1297.0,1297.0,1312.0,1190.0,3073,3307,3216.0,3356.0,3209.0,3348,1253.0
