site_id,mae_site
235,796.8997602977203
857,796.8022668938341
850,796.2201725759478
1026,795.5350688947533
1551,792.6214776084881
1182,787.107105725078
470,786.3681460437991
309,785.8739048314077
1007,785.6716453463468
599,783.6649886667841
684,780.0928508688369
1278,779.5945212799143
1690,778.881672614775
1388,774.3589946643871
180,764.0299562600708
1218,759.4401408621367
678,756.2460105204497
379,753.6424113661436
1080,752.8820497229276
493,744.4323669079916
650,739.8389875340605
1025,737.9635472375971
1696,736.4411383324712
546,725.6612231571812
441,725.6046707592451
251,724.4380566267682
1331,722.973418975605
658,721.3833190356017
321,721.3152445124597
1556,713.0551692684436
1337,708.360736694119
1120,704.9672884187927
1490,700.5102813628723
1338,696.3662702593905
1346,685.9963214159862
248,682.8256142795981
1763,681.5487125008601
1493,681.4940419559807
1495,678.3969994568945
367,675.99249552245
673,675.8787653952664
35,671.7133599895215
580,668.6640902334644
1557,667.5107616345873
1220,664.8069811592544
374,663.6161217172861
1537,661.8156995125552
557,656.20709139058
132,650.7641511039
266,650.5472435298683
295,648.9114969933879
1228,647.0194280230492
1250,644.5455914417375
1112,642.954776807628
1223,641.5351357685123
859,639.9221387186615
93,637.7561374098868
603,633.4621705894831
377,619.2837641476498
77,618.6838843835585
3477,612.9020881645665
1240,610.5038118682062
683,608.5856899493391
3483,606.259380792998
508,606.1156479815987
282,604.1453038692622
286,602.5419530469244
34,600.7571347310729
44,599.8681033877473
3463,595.2576828696956
509,594.4925292357937
1152,592.855000664209
1219,591.6694814637027
1444,591.1837210832646
1462,585.9495023936262
1360,577.838413404037
1513,561.9258629535024
1206,557.2219448693027
1039,556.4050697295123
809,555.18833326599
510,553.8158040846956
1286,551.3970173565659
83,550.0514173104152
1315,544.3681756913651
858,544.1515246474708
1530,540.2800927914304
1599,527.826667551313
1848,526.9671638428044
1487,526.847288708574
1100,525.9307599694829
682,524.3758989868575
247,522.079181744927
226,521.2131378596462
1503,510.66511256935
9,499.75178999974315
1018,493.7581119302852
464,493.66128994517504
1327,488.56324816850747
1457,486.8435221832076
1610,477.5409870122791
1536,476.84591598987635
1499,475.74308142422905
681,475.3879153802371
453,470.3344821810515
665,469.4825189782429
1554,463.46227556118555
1016,456.5805622111334
1123,454.2484734288974
1241,452.40760319745846
425,447.4943956951626
504,445.79174120293516
1186,435.98261847344776
687,424.0767763823722
863,423.7885992273041
644,420.36685090747625
667,420.3214456889588
485,419.8832815488766
1172,407.87866747840275
562,405.6761658768901
371,405.2146368265915
1548,402.52933151634807
412,397.5686720823897
1383,396.236605477184
288,390.89281249747
1263,389.443247271575
1652,386.287904398288
468,385.66812749980085
1078,383.285151411615
1535,376.5215078800148
1258,376.1131310379958
591,374.9286452549918
270,374.39721758960496
388,370.0019407297059
1965,369.2832007425868
1209,359.8353714647685
1865,359.68119497680163
1121,357.7648238618744
3467,354.5981994399208
1151,352.28261559427114
1174,344.87166850957345
1890,344.456090513932
558,342.74883141000396
1355,339.10943468256664
1287,338.45040855798743
289,332.9955239881834
290,327.6097084541139
1077,327.33318871998966
413,326.79956648387696
596,324.19151997948694
1024,319.615961430925
1267,314.9579000535611
1079,306.3590332890007
1395,299.3481335668304
246,294.5622241389502
569,281.8432792950225
1445,280.6495539289192
1458,280.4441154336093
594,280.1969391257589
1389,278.8083809531584
1224,277.2548573994081
298,263.13033280261965
301,261.12686014529385
1273,251.92643941913397
269,242.09825193381934
1459,230.54646348264882
293,225.55229291855764
515,223.07344907745843
654,187.80011173988805
1091,173.70662856438526
1380,145.924974531758
3448,132.57885876479486
1365,128.9245454957456
1132,95.08004487154449
868,94.0933396579112
