zip5,city_sample,state_sample,n_site_days,latitude,longitude,state_geocode,county_name,has_lat_lon
33541,Zephyrhills,FL,728,28.2311,-82.2057,FL,Pasco,True
33548,Lutz,FL,728,28.1385,-82.4821,FL,Hillsborough,True
33559,Lutz,FL,728,28.1801,-82.4169,FL,Pasco,True
33569,Riverview,FL,727,27.845,-82.3125,FL,Hillsborough,True
33572,Apollo Beach,FL,728,27.7716,-82.4102,FL,Hillsborough,True
33579,Riverview,FL,728,27.8024,-82.2755,FL,Hillsborough,True
33598,Wimauma,FL,727,27.7015,-82.3151,FL,Hillsborough,True
33611,Tampa,FL,1452,27.8914,-82.5067,FL,Hillsborough,True
33613,Tampa,FL,728,28.0772,-82.4455,FL,Hillsborough,True
33709,St. Petersburg,FL,727,27.8201,-82.7308,FL,Pinellas,True
33711,St. Petersburg,FL,728,27.7465,-82.6897,FL,Pinellas,True
33771,Largo,FL,727,27.9085,-82.7568,FL,Pinellas,True
33777,Seminole,FL,728,27.8688,-82.7344,FL,Pinellas,True
33813,Lakeland,FL,728,27.9611,-81.9398,FL,Polk,True
33909,Cape Coral,FL,728,26.6939,-81.9452,FL,Lee,True
33913,Fort Myers,FL,1444,26.5228,-81.7065,FL,Lee,True
33948,Port Charlotte,FL,728,26.9827,-82.1412,FL,Charlotte,True
34120,Naples,FL,728,26.3304,-81.5871,FL,Collier,True
34202,Bradenton,FL,720,27.4067,-82.39,FL,Manatee,True
34223,Englewood,FL,697,26.9667,-82.3599,FL,Sarasota,True
34233,Sarasota,FL,728,27.2866,-82.477,FL,Sarasota,True
34238,Sarasota,FL,727,27.2427,-82.4751,FL,Sarasota,True
34240,Sarasota,FL,720,27.339,-82.3473,FL,Sarasota,True
34275,Nokomis,FL,723,27.1384,-82.4518,FL,Sarasota,True
34285,Venice,FL,682,27.0933,-82.4498,FL,Sarasota,True
34287,North Port,FL,728,27.0478,-82.2416,FL,Sarasota,True
34471,Ocala,FL,718,29.1605,-82.1288,FL,Marion,True
34609,Spring Hill,FL,728,28.4794,-82.5083,FL,Hernando,True
34639,Land O' Lakes,FL,728,28.2258,-82.4547,FL,Pasco,True
34654,New Port Richey,FL,728,28.3022,-82.6264,FL,Pasco,True
34744,Kissimmee,FL,727,28.3078,-81.3681,FL,Osceola,True
34748,Leesburg,FL,708,28.808,-81.8858,FL,Lake,True
