zip5,total_washes,avg_washes,n_site_days,retail_total,membership_total,voucher_total,precip_mean,snowfall_mean,sunshine_mean,wind_mean,region,state,city,retail_share,membership_share,voucher_share,latitude,longitude,has_lat_lon,kmeans_cluster,dbscan_cluster,tsne_x,tsne_y
28607,358925,493.02884615384613,728,285599,68945,4381,1315.8,31.989999999999995,3280.661017,19.30327869,South,NC,Boone,0.7957066239465069,0.19208748345754684,0.012205892595946228,36.2142,-81.666,True,0,1,-0.3766718,-2.1380067
28621,327663,450.08653846153845,728,246965,67409,13289,926.1999999999999,12.81,3248.7172889999997,16.70491803,South,NC,Elkin,0.7537164708862459,0.20572661545551374,0.04055691365824032,36.2872,-80.8554,True,0,1,3.728876,-4.487549
28625,431419,592.6085164835165,728,341855,89128,436,879.9,9.45,3234.635042,18.11256831,South,NC,Statesville,0.7923967187351507,0.2065926628173539,0.0010106184474953583,35.8651,-80.8858,True,0,1,1.915029,-7.194586
28673,213347,293.4621733149931,727,163715,40945,8687,859.0,9.73,3257.678881,16.98087432,South,NC,Sherrills Ford,0.7673649031858897,0.19191739279202427,0.04071770402208608,35.5962,-81.0339,True,5,1,4.811303,-2.792114
28697,421002,289.34845360824744,1455,335916,75956,9130,853.7,10.64,3248.018292,15.13743169,South,NC,Wilkesboro,0.7978964470477575,0.18041719516771892,0.02168635778452359,36.1359,-81.1573,True,4,-1,3.375918,-20.907925
28734,242370,332.9258241758242,728,203807,38542,21,922.3000000000001,13.86,3292.7463920000005,14.18360656,South,NC,Franklin,0.8408920245905022,0.15902133102281635,8.664438668152e-05,35.181,-83.3885,True,5,1,7.578687,1.212192
28792,362616,249.22061855670103,1455,332362,30252,2,950.5,11.55,3317.548331,19.61065574,South,NC,Hendersonville,0.9165673880909833,0.08342709643258985,5.515476426853751e-06,35.3613,-82.4264,True,4,-1,1.5527661,-20.761894
28803,440263,604.7568681318681,728,320703,119560,0,767.8000000000001,13.02,3349.393592,19.02213115,South,NC,Asheville,0.7284350490502268,0.2715649509497732,0.0,35.5393,-82.518,True,0,-1,1.3085539,-7.835814
29579,380777,523.0453296703297,728,305795,74529,453,1341.0,12.81,3380.423714,16.19945355,South,SC,Myrtle Beach,0.8030815936886945,0.19572873361573834,0.0011896726955672218,33.7377,-78.9787,True,0,1,4.0205,-6.053409
29585,298831,372.14321295143213,803,242710,45206,10915,1462.5999999999997,15.47,3388.112742,17.91994536,South,SC,Pawleys Island,0.8121981989820333,0.1512761393563586,0.03652566166160807,33.4508,-79.1341,True,5,1,1.6495045,0.010984402
29607,646832,296.43996333638864,2182,467816,106367,72649,1052.7667277726855,5.716645279560037,3324.764052560953,17.617909319835015,South,SC,Greenville,0.7232418927944195,0.16444300838548495,0.11231509882009548,34.8285,-82.3516,True,4,-1,5.571502,-21.816343
29621,610816,839.032967032967,728,466719,135891,8206,1003.3000000000001,5.39,3371.3508559999996,19.01420765,South,SC,Anderson,0.7640909864836547,0.2224745258801341,0.013434487636211231,34.5261,-82.6304,True,0,1,1.5604357,-10.255045
29625,551836,758.0164835164835,728,440447,105799,5590,1016.1999999999999,5.39,3368.657169,18.1568306,South,SC,Anderson,0.798148362919418,0.1917218159018259,0.010129821178756007,34.5271,-82.7087,True,0,1,2.3302362,-9.581005
29640,577154,792.7939560439561,728,441387,129804,5963,1063.4,5.95,3355.012353,18.52568306,South,SC,Easley,0.7647646901866746,0.22490357859427468,0.01033173121905072,34.829,-82.5796,True,0,1,1.657545,-9.868874
29681,714102,490.4546703296703,1456,558162,145074,10866,921.9499999999999,5.215,3339.0034525,18.308196719999998,South,SC,Simpsonville,0.7816278346790795,0.2031558516850534,0.015216313635867146,34.7512,-82.255,True,4,-1,3.8987448,-22.52725
29687,463285,318.19024725274727,1456,262769,32741,167775,1051.45,5.8100000000000005,3312.896307,18.028825134999998,South,SC,Taylors,0.5671865050670754,0.07067140097348285,0.3621420939594418,34.9245,-82.3197,True,2,-1,7.226856,-17.967642
30013,310632,213.34615384615384,1456,250283,57948,2401,1156.1,8.19,3317.526014,15.94153005,South,GA,Conyers,0.8057218831285895,0.1865487135903577,0.007729403281052821,33.6436,-83.9684,True,4,-1,2.942647,-19.912836
30022,178784,245.92022008253096,727,155858,20136,2790,1111.3,9.73,3326.649833,15.98114754,South,GA,Alpharetta,0.871767048505459,0.1126275281904421,0.0156054233040988,34.0268,-84.2422,True,5,1,7.4898243,3.7196743
30024,90497,124.30906593406593,728,73777,16720,0,1119.7,9.38,3306.355978,16.60382514,South,GA,Suwanee,0.815242494226328,0.18475750577367206,0.0,34.0425,-84.0262,True,5,1,5.6736093,3.133945
30040,221960,304.8901098901099,728,163838,34018,24104,1186.0,9.24,3328.350458,17.7568306,South,GA,Cumming,0.7381420075689313,0.1532618489817985,0.10859614344927014,34.2321,-84.158,True,5,1,8.772092,-10.424311
30043,442853,304.36632302405496,1455,319148,58772,64933,1090.2,9.59,3324.895128,16.26065574,South,GA,Lawrenceville,0.7206635158845034,0.13271220924324775,0.1466242748722488,34.0031,-84.0126,True,4,-1,4.629666,-19.799515
30044,209978,327.57878315132604,641,107302,78464,24212,1046.5,9.59,3355.375392,15.845355189999998,South,GA,Lawrenceville,0.5110154397127318,0.3736772423777729,0.11530731790949528,33.9418,-84.0706,True,0,-1,9.859441,-7.4969196
30047,230053,316.44154057771664,727,179741,50307,5,1125.0,9.38,3337.2136780000005,15.8420765,South,GA,Lilburn,0.7813025694079191,0.2186756964699439,2.1734122137072763e-05,33.8656,-84.0725,True,5,1,6.134552,-1.7799913
30052,226549,315.08901251738524,719,171020,34639,20890,1127.1,9.73,3341.601128,17.4226776,South,GA,Loganville,0.7548918776953331,0.15289848995140123,0.09220963235326574,33.8769,-83.8968,True,5,1,8.51822,-10.186961
30058,374283,514.125,728,313608,60675,0,1117.3,8.12,3343.3553,15.6795082,South,GA,Lithonia,0.8378900457675075,0.16210995423249253,0.0,33.7356,-84.1009,True,0,1,4.790612,-6.2492657
