month_offset,year_month,site_age_months,calendar_month,calendar_month_sin,calendar_month_cos,latitude,longitude,region_code,cbsa_code,peer_ref_level,peer_recent,peer_seasonal,peer_count,peer_level_resolved,peer_trend_ratio,h3_ref_level,h3_seasonal_factor,h3_peer_count,h3_used,h3_vs_cbsa_ratio,ramp_factor,anchor_wash,log_anchor,maturity_indicator,site_train_mean,site_train_median,site_train_max,site_train_std,site_train_recent6,site_train_months,site_vs_peer_ratio,predicted_washes,predicted_washes_low,predicted_washes_high,cbsa_id,cbsa_name,sample_label,sample_lat,sample_lon
38,2029-08,38,8,-0.8660254037844384,-0.5000000000000004,32.7767,-96.797,2,0,10527.75,10036.875,1.0472232682106586,15,cbsa,0.953373227897699,10527.75,1.0472232682106586,0,0,,1.0,11024.904761904761,9.308002761519795,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12484.214184820052,3452.467035652185,45143.25617102393,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
39,2029-09,39,9,-1.0,-1.8369701987210297e-16,32.7767,-96.797,2,0,10527.75,10036.875,0.9419564311635267,15,cbsa,0.953373227897699,10527.75,0.9419564311635267,0,0,,1.0,9916.681818181818,9.202074485286413,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10040.390519948362,2776.6359005075074,36306.32369719171,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
40,2029-10,40,10,-0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,1.0668773652317145,15,cbsa,0.953373227897699,10527.75,1.0668773652317145,0,0,,1.0,11231.818181818182,9.326594967435454,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12667.073743196097,3503.0362255187647,45804.48128018038,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
41,2029-11,41,11,-0.5000000000000004,0.8660254037844384,32.7767,-96.797,2,0,10527.75,10036.875,0.8048426129212621,15,cbsa,0.953373227897699,10527.75,0.8048426129212621,0,0,,1.0,8473.181818181818,9.04477938696079,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8401.63101765566,2323.4425254765997,30380.525010987454,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
42,2029-12,42,12,-2.4492935982947064e-16,1.0,32.7767,-96.797,2,0,10527.75,10036.875,0.8155804680703163,15,cbsa,0.953373227897699,10527.75,0.8155804680703163,0,0,,1.0,8586.227272727272,9.05803117739191,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8248.072183442466,2280.9763513701937,29825.252112943217,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
43,2030-01,43,1,0.49999999999999994,0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.8767505427385519,15,cbsa,0.953373227897699,10527.75,0.8767505427385519,0,0,,1.0,9230.21052631579,9.13034547017747,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8596.559101396439,2377.3492250473414,31085.390234297753,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
44,2030-02,44,2,0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,0.9319130268500917,15,cbsa,0.953373227897699,10527.75,0.9319130268500917,0,0,,1.0,9810.947368421053,9.191356041362878,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9762.113394265372,2699.679306446124,35300.066083755504,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
45,2030-03,45,3,1.0,6.123233995736766e-17,32.7767,-96.797,2,0,10527.75,10036.875,1.2569037468644897,15,cbsa,0.953373227897699,10527.75,1.2569037468644897,0,0,,1.0,13232.368421052632,9.490496829468592,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11507.024218031034,3182.2284689339576,41609.71081963529,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
46,2030-04,46,4,0.8660254037844387,-0.49999999999999983,32.7767,-96.797,2,0,10527.75,10036.875,0.9533043622806392,15,cbsa,0.953373227897699,10527.75,0.9533043622806392,0,0,,1.0,10036.15,9.214048488406723,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10403.884079279705,2877.1588098940892,37620.72623967329,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
47,2030-05,47,5,0.49999999999999994,-0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.960575621571561,15,cbsa,0.953373227897699,10527.75,0.960575621571561,0,0,,1.0,10112.7,9.221646219345152,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10049.434815882834,2779.1370698332003,36339.02811592499,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
