cluster_id,role,client_name,client_id,site_id,address,state,lat,lon,opened,carwash_type,dist_from_entrant_km,wash_per_mo,wash_before_entry,wash_after_entry,decline_pct,google_maps_all_markers,google_earth
13.0,entrant,BlueWave,bluewave_000567,69.0,1618 S 77 Sunshine Strip,TX,26.1753183,-97.6762788,2024-12-01,Express Tunnel,0.0,11528.0,,,,"https://www.google.com/maps/dir/26.1753183,-97.6762788/26.1892628,-97.7167139","https://earth.google.com/web/@26.182291,-97.696496,0a,7983d,35y,0h,0t,0r"
13.0,neighbor,BlueWave,bluewave_000567,18.0,1924 W Tyler Ave,TX,26.1892628,-97.7167139,2023-08-01,Express Tunnel,4.3,,30917.0,19711.0,36.2,"https://www.google.com/maps/dir/26.1753183,-97.6762788/26.1892628,-97.7167139","https://earth.google.com/web/@26.182291,-97.696496,0a,7983d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
14.0,entrant,BlueWave,bluewave_000567,74.0,1601 W Lincoln Ave,TX,26.1829177,-97.7133037,2025-03-01,Express Tunnel,0.0,11279.0,,,,"https://www.google.com/maps/dir/26.1829177,-97.7133037/26.1892628,-97.7167139","https://earth.google.com/web/@26.186090,-97.715009,0a,2674d,35y,0h,0t,0r"
14.0,neighbor,BlueWave,bluewave_000567,18.0,1924 W Tyler Ave,TX,26.1892628,-97.7167139,2023-08-01,Express Tunnel,0.8,,28989.0,18481.0,36.2,"https://www.google.com/maps/dir/26.1829177,-97.7133037/26.1892628,-97.7167139","https://earth.google.com/web/@26.186090,-97.715009,0a,2674d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
15.0,entrant,Luv Car Wash,luvcarwash_000457,48.0,5702 Ogeechee rd,GA,32.0285226,-81.2226641,2023-11-01,Express Tunnel,0.0,9310.0,,,,"https://www.google.com/maps/dir/32.0285226,-81.2226641/32.081626,-81.279992","https://earth.google.com/web/@32.055074,-81.251328,0a,13506d,35y,0h,0t,0r"
15.0,neighbor,Magnolia,magnolia_000414,23.0,2001 Pooler Pkwy,GA,32.081626,-81.279992,2022-10-01,Express Tunnel,8.0,,6500.0,8318.0,-28.0,"https://www.google.com/maps/dir/32.0285226,-81.2226641/32.081626,-81.279992","https://earth.google.com/web/@32.055074,-81.251328,0a,13506d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
16.0,entrant,Soapy Nobles,soapynobles_000448,3.0,76 N Rd,CT,41.9321244,-72.5917651,2022-09-01,Express Tunnel,0.0,3348.0,,,,"https://www.google.com/maps/dir/41.9321244,-72.5917651/41.930665,-72.606836","https://earth.google.com/web/@41.931395,-72.599301,0a,3385d,35y,0h,0t,0r"
16.0,neighbor,Brothers Car Wash,autoshineoil,1.0,168 Bridge St,CT,41.930665,-72.606836,2020-01-01,Unknown,1.3,,1042.0,677.0,35.0,"https://www.google.com/maps/dir/41.9321244,-72.5917651/41.930665,-72.606836","https://earth.google.com/web/@41.931395,-72.599301,0a,3385d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
17.0,entrant,Fast N Furious Speed Wash,fastnfurioussw_000729,1.0,2035 N Riverside Ave,CA,34.137543,-117.369807,2025-01-01,Express Tunnel,0.0,3717.0,,,,"https://www.google.com/maps/dir/34.137543,-117.369807/34.136605,-117.336211/34.181835,-117.342148","https://earth.google.com/web/@34.151994,-117.349389,0a,11653d,35y,0h,0t,0r"
17.0,neighbor,Magic Brush,magicbrush_000533,3.0,2122 W Highland Ave,CA,34.136605,-117.336211,2023-07-01,Express Tunnel,3.1,,2024.0,1691.0,16.5,"https://www.google.com/maps/dir/34.137543,-117.369807/34.136605,-117.336211/34.181835,-117.342148","https://earth.google.com/web/@34.151994,-117.349389,0a,11653d,35y,0h,0t,0r"
