client_id,site_id,address1,company_name,file_name,matched_address_in_file,year_5_max_hourly[car_wash_volume_estimate],tunnel_length_predicted,tunnel_length_actual,project_cost_total_investment[car_wash_acquisition_budget],project_cost_owner_investment[car_wash_acquisition_budget],project_cost_bank_debt_total[car_wash_acquisition_budget],total_debt_monthly_payment[bank_debt_allocation],2020_volume,2021_volume,2022_volume,2023_volume,2024_volume,2025_volume,2026_volume,operational_start
zoomwash_000786,1,4300 Clinton Hwy,Just Auto Wash,"Sonny's Express Exterior Proforma 4300 Clinton Hwy, Knoxville_0695w00000RUh2HAAT.xlsx",4300 Clinton Hwy.,97.14,35.7025,,0.0,0.0,0.0,0.0,,,,,,4540.0,14046.0,09-2025
zoomwash_000786,1,4300 Clinton Hwy,Just Auto Wash,"Sonny's Express Exterior Proforma 4300 Clinton Hwy, Knoxville_0695w00000RUh2HAAT.xlsx","4300 Clinton Hwy., Knoxville, TN 37912, Average Daily Wash Hours",97.14,35.7025,,0.0,0.0,0.0,0.0,,,,,,4540.0,14046.0,09-2025
zoomwash_000786,1,4300 Clinton Hwy,Just Auto Wash,"Sonny's Express Exterior Proforma 4300 Clinton Hwy, Knoxville_0695w00000RUh2HAAT.xlsx","4300 Clinton Hwy, Knoxville",97.14,35.7025,,0.0,0.0,0.0,0.0,,,,,,4540.0,14046.0,09-2025
zoomwash_000786,1,4300 Clinton Hwy,Just Auto Wash,"Sonny's Express Exterior Proforma 4300 Clinton Hwy, Knoxville_0695w00000RUh2HAAT.xlsx","Just Auto, 4300 Clinton Hwy., Knoxville, TN 37912",97.14,35.7025,,0.0,0.0,0.0,0.0,,,,,,4540.0,14046.0,09-2025
zoomwash_000786,1,4300 Clinton Hwy,Just Auto Wash,"SONNY'S Express Proforma - 4300 Clinton Highway Knoxville, TN 37912_069Uc00000SUtDVIA1.pdf","4300 Clinton Highway Knoxville, TN 37912",83.0,31.3929,,4400000.0,880000.0,3520000.0,26012.49,,,,,,4540.0,14046.0,09-2025
cruisecw_000718,1,1314 TX-16,KDR Texas Properties,Sonny's Express Exterior Proforma - 1314 TX-16 Graham TX 76450_0695w00000WsLfGAAV.pdf,1314 TX-16 Graham TX 76450,25.0,13.7153,37,6056957.0,1211391.4,4845565.6,40663.81,,,,,26.0,47341.0,18712.0,12-2024
cruisecw_000718,1,1314 TX-16,KDR Texas Properties,Sonny's Express Exterior Proforma - 1314 TX-16 Graham TX 76450_0695w00000WsLQpAAN.xlsx,1314 TX-16 Graham TX 76450,24.85,13.6696,37,6056957.0,1211391.4,4845565.6,40663.81,,,,,26.0,47341.0,18712.0,12-2024
cruisecw_000718,1,1314 TX-16,KDR Texas Properties,Sonny's Express Exterior Proforma - 1314 TX-16 Graham TX 76450_0695w00000WsLQpAAN.xlsx,1314 TX-16,24.85,13.6696,37,6056957.0,1211391.4,4845565.6,40663.81,,,,,26.0,47341.0,18712.0,12-2024
cruisecw_000718,1,1314 TX-16,KDR Texas Properties,Sonny's Express Exterior Proforma - 1314 TX-16 Graham TX 76450_0695w00000WsLQpAAN.xlsx,"1314 TX-16, Graham TX 76450, Address Line 3",24.85,13.6696,37,6056957.0,1211391.4,4845565.6,40663.81,,,,,26.0,47341.0,18712.0,12-2024
luvcarwash_000457,70,120 Lancaster Ave,Keith Arnold,Sonny's Express Exterior Proforma_069f2000007PVkwAAG.xlsx,120 Lancaster Ave.,69.86,27.3880,,0.0,0.0,0.0,0.0,,,,,13434.0,180466.0,85732.0,11-2024
luvcarwash_000457,70,120 Lancaster Ave,Keith Arnold,Sonny's Express Exterior Proforma_069f2000007PVkwAAG.xlsx,"120 Lancaster Ave., Frazier, PA 19355, Address Line 3",69.86,27.3880,,0.0,0.0,0.0,0.0,,,,,13434.0,180466.0,85732.0,11-2024
luvcarwash_000457,71,175 N Henderson Rd,Keith Arnold,Sonny's Express Exterior Proforma_069f2000007OO9hAAG.xlsx,175 N Henderson Rd.,40.62,18.4761,,0.0,0.0,0.0,0.0,,,,,6982.0,179644.0,76288.0,12-2024
luvcarwash_000457,71,175 N Henderson Rd,Keith Arnold,Sonny's Express Exterior Proforma_069f2000007OO9hAAG.xlsx,"175 N Henderson Rd., King of Prussia, PA 19406, Address Line 3",40.62,18.4761,,0.0,0.0,0.0,0.0,,,,,6982.0,179644.0,76288.0,12-2024
luvcarwash_000457,60,444 Egypt Rd,Keith Arnold,SONNY'S Flex Proforma_069f2000007OBaAAAW.xls,"444 Egypt Rd., Norristown, PA 19403",76.45,29.3965,,0.0,0.0,0.0,0.0,,,,,1717.0,45626.0,25299.0,11-2024
luvcarwash_000457,60,444 Egypt Rd,Keith Arnold,SONNY'S Flex Proforma_069f2000007OBaAAAW.xls,"444 Egypt Rd., Norristown, PA 19403, SITE-SPECIFIC FACTORS, (Enter the number one ""1"" in the block that best matches your site)",76.45,29.3965,,0.0,0.0,0.0,0.0,,,,,1717.0,45626.0,25299.0,11-2024
luvcarwash_000457,60,444 Egypt Rd,Keith Arnold,SONNY'S Flex Proforma_069f2000007OBaAAAW.xls,"444 Egypt Rd., Norristown, PA 19403, PRO FORMA PROCESSING DATA",76.45,29.3965,,0.0,0.0,0.0,0.0,,,,,1717.0,45626.0,25299.0,11-2024
luvcarwash_000457,69,821 Lincoln Hwy E,Keith Arnold,Sonny's Express Exterior Proforma_069f2000007NfTCAA0.xlsx,"821 Lincoln Hwy E., Coatesville, PA 19320, Address Line 3",48.59,20.9052,,0.0,0.0,0.0,0.0,,,,,6056.0,79309.0,44063.0,10-2024
luvcarwash_000457,69,821 Lincoln Hwy E,Keith Arnold,Sonny's Express Exterior Proforma_069f2000007NfTCAA0.xlsx,821 Lincoln Hwy E.,48.59,20.9052,,0.0,0.0,0.0,0.0,,,,,6056.0,79309.0,44063.0,10-2024
tiptopcw_000668,7,200 Clifty Dr,Kiser Carwash,Sonny's Express Exterior Proforma_0695w00000D8vi4AAB.xlsx,"200 Clifty Drive, Madison IN 47250, Address Line 3",81.24,30.8564,,0.0,0.0,0.0,0.0,,,,,,2801.0,23088.0,12-2025
