loc_group,ll_key,dup_type,n_sites_here,n_clients_here,client_name,client_id,site_id,lat,lon,operational_start,first_month,last_month,months_active,mem_wash_count,ret_wash_count,total_washes
60,"33.6374,-84.0187",cross_operator,2,2,Rocket Wash,rocketwash_000183,6,33.6374352,-84.0186611,03-2023,2023-03,2023-03,1,0,6,6
61,"33.6428,-78.9723",cross_operator,2,2,Detricks,detricks_000422,2,33.6428071,-78.9723316,03-2022,2022-03,2024-03,25,129723,94346,224069
61,"33.6428,-78.9723",cross_operator,2,2,Magnolia,magnolia_000414,67,33.6428071,-78.9723316,03-2024,2024-03,2026-05,27,101578,46327,147905
62,"33.6513,-86.8199",cross_operator,2,2,Mr. B's Car Wash,mrbs,1,33.6512899,-86.8198564,01-2020,2020-01,2022-09,33,0,274684,274684
62,"33.6513,-86.8199",cross_operator,2,2,Mach 1 Express Wash,zippycarwash_000145,17,33.6512899,-86.8198564,09-2024,2024-09,2026-05,21,16419,27482,43901
63,"33.7517,-84.7268",cross_operator,2,2,Blue Penguin Car Wash,bluepenguincw_000433,1,33.751734,-84.726808,03-2022,2022-03,2026-05,51,229107,219567,448674
63,"33.7517,-84.7268",cross_operator,2,2,Dirty Dog's Car Wash,dirtydogs_000082,6,33.751734,-84.726808,01-2021,2021-01,2022-03,15,42537,90772,133309
64,"33.7617,-96.5824",cross_operator,2,2,BlueWave,bluewave_000567,64,33.7617077,-96.5824205,03-2026,2026-03,2026-05,3,39884,7815,47699
64,"33.7617,-96.5824",cross_operator,2,2,ClearWater,clearwater_000397,17,33.7617077,-96.5824205,04-2024,2024-04,2026-03,24,279513,77060,356573
65,"33.8529,-79.0762",cross_operator,2,2,Detricks,detricks_000422,1,33.8528886,-79.076195,02-2022,2022-02,2024-03,26,199829,133906,333735
65,"33.8529,-79.0762",cross_operator,2,2,Magnolia,magnolia_000414,66,33.8528886,-79.076195,03-2024,2024-03,2026-05,27,196140,113048,309188
