state,calendar_month,month_level,ref_level,peer_count,seasonal_factor,ref_recent
NC,4,15584.175,12248.764595103577,36,1.2723058622768981,11719.10994764398
NC,5,12908.860465116279,12248.764595103577,36,1.053890811998834,11719.10994764398
NC,6,12802.673913043478,12248.764595103577,36,1.0452216477538743,11719.10994764398
NC,7,11272.04255319149,12248.764595103577,36,0.9202595466401133,11719.10994764398
NC,8,11976.744680851063,12248.764595103577,36,0.9777920530564157,11719.10994764398
NC,9,11253.63829787234,12248.764595103577,36,0.9187570069205969,11719.10994764398
NC,10,13294.173076923076,12248.764595103577,36,1.0853480752040414,11719.10994764398
NC,11,11044.576923076924,12248.764595103577,36,0.9016890509506545,11719.10994764398
NC,12,9886.703703703704,12248.764595103577,36,0.8071592548734178,11719.10994764398
ND,1,5091.5,6696.35,1,0.760339587984499,6613.0
ND,2,6643.0,6696.35,1,0.9920329731868853,6613.0
ND,3,8201.0,6696.35,1,1.2246970364452276,6613.0
ND,4,7095.5,6696.35,1,1.0596070993899662,6613.0
ND,5,6912.0,6696.35,1,1.0322041111949047,6613.0
ND,6,7150.0,6696.35,1,1.0677458615514421,6613.0
ND,7,7750.5,6696.35,1,1.1574215804132102,6613.0
ND,8,7762.5,6696.35,1,1.1592136014395902,6613.0
ND,9,6911.5,6696.35,1,1.0321294436521389,6613.0
ND,10,6061.5,6696.35,1,0.9051946209502191,6613.0
ND,11,4997.0,6696.35,1,0.7462274224017561,6613.0
ND,12,5401.0,6696.35,1,0.8065587969565509,6613.0
NE,1,4502.166666666667,4993.666666666667,4,0.9015753287497497,4652.85
NE,2,5659.0,4993.666666666667,4,1.1332354315466258,4652.85
NE,3,6246.142857142857,4993.666666666667,4,1.2508129344789112,4652.85
NE,4,5145.714285714285,4993.666666666667,4,1.0304480913919534,4652.85
NE,5,5703.571428571428,4993.666666666667,4,1.1421610230100985,4652.85
NE,6,5354.428571428572,4993.666666666667,4,1.0722438898795617,4652.85
NE,7,5158.285714285715,4993.666666666667,4,1.032965565907292,4652.85
NE,8,5392.0,4993.666666666667,4,1.07976770576063,4652.85
NE,9,5649.0,4993.666666666667,4,1.1312328950003336,4652.85
NE,10,5604.0,4993.666666666667,4,1.1222214805420199,4652.85
NE,11,3979.285714285714,4993.666666666667,4,0.7968665070994688,4652.85
NE,12,5088.285714285715,4993.666666666667,4,1.0189478100832483,4652.85
NH,1,9900.5,7772.15,1,1.273843145075687,6707.0
NH,2,13299.0,7772.15,1,1.7111095385446755,6707.0
NH,3,7865.0,7772.15,1,1.0119465012898619,6707.0
NH,4,7692.0,7772.15,1,0.9896875381972814,6707.0
NH,5,8204.5,7772.15,1,1.0556281080524694,6707.0
NH,6,8953.5,7772.15,1,1.1519978384359542,6707.0
NH,7,7430.5,7772.15,1,0.9560417645053171,6707.0
NH,8,6802.5,7772.15,1,0.8752404418339842,6707.0
NH,9,7106.0,7772.15,1,0.9142901256409102,6707.0
NH,10,6467.5,7772.15,1,0.8321378254408369,6707.0
NH,11,5339.5,7772.15,1,0.6870042394961497,6707.0
NH,12,7298.5,7772.15,1,0.9390580470011516,6707.0
NJ,1,5014.0,4784.166666666667,5,1.0480404110782093,4288.5
NJ,2,4976.2,4784.166666666667,5,1.0401393485455495,4288.5
NJ,3,4927.1,4784.166666666667,5,1.0298763281658248,4288.5
NJ,4,5526.4,4784.166666666667,5,1.1551437031875977,4288.5
NJ,5,5689.8,4784.166666666667,5,1.189298031701794,4288.5
NJ,6,6085.8,4784.166666666667,5,1.2720710677582303,4288.5
NJ,7,5486.6,4784.166666666667,5,1.1468245950182896,4288.5
NJ,8,5870.1,4784.166666666667,5,1.2269848458456716,4288.5
NJ,9,5163.3,4784.166666666667,5,1.0792475178540324,4288.5
NJ,10,5861.9,4784.166666666667,5,1.2252708587354117,4288.5
NJ,11,4484.6,4784.166666666667,5,0.9373837310573071,4288.5
NJ,12,3872.0,4784.166666666667,5,0.8093363525518202,4288.5
NM,1,1939.0,3245.4333333333334,2,0.5974548853260478,3919.0
NM,2,2441.0,3245.4333333333334,2,0.752133767447593,3919.0
NM,3,3847.6666666666665,3245.4333333333334,2,1.1855633043353224,3919.0
NM,4,3918.0,3245.4333333333334,2,1.2072347811797088,3919.0
NM,5,4100.333333333333,3245.4333333333334,2,1.263416287501412,3919.0
NM,6,3770.0,3245.4333333333334,2,1.1616322422275402,3919.0
NM,7,3761.3333333333335,3245.4333333333334,2,1.1589618232798908,3919.0
NM,8,3870.3333333333335,3245.4333333333334,2,1.1925474769676365,3919.0
NM,9,3068.6666666666665,3245.4333333333334,2,0.9455337243100561,3919.0
NM,10,3195.0,3245.4333333333334,2,0.9844602158931011,3919.0
NM,11,2824.6666666666665,3245.4333333333334,2,0.8703511600916158,3919.0
NM,12,3047.6666666666665,3245.4333333333334,2,0.9390630937830592,3919.0
NV,1,3784.5,4168.0,1,0.907989443378119,3926.0
NV,2,3278.5,4168.0,1,0.786588291746641,3926.0
NV,3,3586.5,4168.0,1,0.8604846449136276,3926.0
NV,4,4664.5,4168.0,1,1.1191218809980805,3926.0
NV,5,5434.5,4168.0,1,1.3038627639155471,3926.0
NV,6,5460.0,4168.0,1,1.3099808061420346,3926.0
NV,7,4869.5,4168.0,1,1.1683061420345489,3926.0
NV,8,4877.5,4168.0,1,1.170225527831094,3926.0
NV,9,4441.0,4168.0,1,1.0654990403071016,3926.0
NV,10,3922.0,4168.0,1,0.940978886756238,3926.0
NV,11,2779.5,4168.0,1,0.6668666026871402,3926.0
NV,12,3028.5,4168.0,1,0.7266074856046065,3926.0
NY,1,3475.681818181818,3670.693333333333,15,0.9468733840060601,3326.2625
NY,2,3921.0,3670.693333333333,15,1.0681905689025144,3326.2625
NY,3,3725.2608695652175,3670.693333333333,15,1.014865730061501,3326.2625
NY,4,3763.9565217391305,3670.693333333333,15,1.025407512950995,3326.2625
NY,5,3886.25,3670.693333333333,15,1.0587236925267525,3326.2625
NY,6,3825.25,3670.693333333333,15,1.0421055786009545,3326.2625
NY,7,3501.5833333333335,3670.693333333333,15,0.9539296844919398,3326.2625
NY,8,3728.1666666666665,3670.693333333333,15,1.0156573508365359,3326.2625
