client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
championxpress_15b4e22aa9715b215626dc8cbca332ce90eded9bf145bfc591b8573a6e31c65b,2024-01-01,33.1089209,-82.0239966,NM,West,EDGEWOOD,87015,young,12260,"Augusta-Richmond County, GA-SC",8844c20157fffff
championxpress_1b45b065772d0982d39a46ec4a4dd9a910eadf03ce96091dfaf4fe6bafcc76f2,2024-01-01,36.3816146,-105.5891681,NM,West,TAOS,87571,young,45340,"Taos, NM",8848dbc9d1fffff
championxpress_1d700c40eb6d957c2cd1477c695d19cc98d16c0b8ce997ef62715880429a4f04,2024-01-01,41.460256,-87.066806,NM,West,ALBUQUERQUE,87112-4433,young,16980,"Chicago-Naperville-Elgin, IL-IN-WI",882664a931fffff
championxpress_22d7f8fe30715a313c2c1053514eb43f13eb6a71c7f02d1235f75dc48d4dae7d,2024-01-01,35.1967273,-106.7040338,NM,West,ALBUQUERQUE,87114-6072,young,10740,"Albuquerque, NM",8848d8b345fffff
championxpress_3f5a12a6339bc73427b27f9c6d2d00c3cde0b8861a92cbd12e9466a70d206c94,2024-01-01,35.0878992,-106.588358,NM,West,ALBUQUERQUE,87110-6451,young,10740,"Albuquerque, NM",8848d89595fffff
championxpress_48afa8b2903d27b99e75c3b8034fdc8ddc58853ad92629132541f3858b14b843,2024-01-01,28.827798,-81.886524,NM,West,ALBUQUERQUE,87120-1852,young,36740,"Orlando-Kissimmee-Sanford, FL",8844f4d89bfffff
championxpress_4cbfd5adef04e7abf821a0a129da0a0c50032c1d1afb4d3570af7d85b22420e0,2024-01-01,37.989728,-84.209236,NM,West,RIO RANCHO,87124-6315,young,30460,"Lexington-Fayette, KY",88266da4bbfffff
championxpress_58cd6ad1c75d3eaa24d7b011cc64b2daf6ac62e8ea4177a33b7205bf6a51b633,2024-01-01,35.1319325,-106.5505556,NM,West,ALBUQUERQUE,87111-2358,young,10740,"Albuquerque, NM",8848d88703fffff
championxpress_5a3788a78948efd58445072e4bacb8f94ce5eb1c4e435b651554521cee916633,2024-01-01,35.637909,-106.0123587,NM,West,SANTA FE,87507-4838,young,42140,"Santa Fe, NM",8848d8726dfffff
championxpress_65dae04943088c007297a8f75899cea52415914de973e4f2f2ef51dd22de81eb,2024-01-01,35.1891635,-106.6160627,NM,West,ALBUQUERQUE,87114-2134,young,10740,"Albuquerque, NM",8848d88411fffff
championxpress_66f0756f49d2d7d33e25907a5b04c25ed094a146155b78439ece08ddf56203ab,2024-01-01,31.803138,-106.28622,TX,South,EL PASO,79936-1461,young,21340,"El Paso, TX",8848c6c539fffff
championxpress_679470d644f6d4adfb8cad13d12fe164d8292ff2fcb46acf4d1814dd62ba5b96,2024-01-01,35.0716988,-106.5278692,NM,West,ALBUQUERQUE,87123-2725,young,10740,"Albuquerque, NM",8848d882d1fffff
championxpress_72fab3e8378fa3d529ef3d87c1d6e369d66534930dc37fdb1edc439d5ec8d01a,2024-01-01,40.439071,-105.076512,CO,West,LOVELAND,80538,young,22660,"Fort Collins, CO",8826aa5a95fffff
championxpress_7664d544572e2282d273a55ecbec3adcb4fdd96c6e24e8206948b33d223a311f,2024-01-01,36.826306,-108.011873,NM,West,AZTEC,87410,young,22140,"Farmington, NM",88269ba2edfffff
championxpress_7f1d06d383f3da0e66395f44e40844e2944cc3b12fe4aba6c94c36877fd07ab2,2024-01-01,36.043861,-86.662127,NM,West,BELEN,87002-4033,young,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",88264d142dfffff
