client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
linkscarwash_1,2024-08-16,28.452047,-81.3345029,FL,South,Orlando,32812,young,36740,"Orlando-Kissimmee-Sanford, FL",8844a9006bfffff
luvcarwash_39,2024-01-12,31.980289,-81.146533,GA,South,Savannah,31419,young,42340,"Savannah, GA",8844d5c29bfffff
luvcarwash_44,2024-03-09,41.463164,-75.642049,PA,Northeast,Dickson City,18519,young,42540,"Scranton--Wilkes-Barre--Hazleton, PA",882aa5ac67fffff
luvcarwash_45,2024-01-12,32.137208,-81.254417,GA,South,Pooler,31322,young,42340,"Savannah, GA",8844d51307fffff
luvcarwash_46,2024-03-09,41.3923952,-75.6926622,PA,Northeast,Taylor,18517,young,42540,"Scranton--Wilkes-Barre--Hazleton, PA",882aa5adb5fffff
luvcarwash_47,2024-03-25,40.2460378,-75.2428014,PA,Northeast,Montgomeryville,18936,young,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",882a122dd3fffff
luvcarwash_49,2024-03-25,31.956633,-81.324565,GA,South,Richmond Hill,31324,young,42340,"Savannah, GA",8844d599b5fffff
luvcarwash_50,2024-02-03,31.9602019,-81.3043055,GA,South,Richmond Hill,31324,young,42340,"Savannah, GA",8844d58b45fffff
luvcarwash_51,2024-06-13,34.09821,-118.36309,CA,West,Los Angeles,90046,young,31080,"Los Angeles-Long Beach-Anaheim, CA",8829a1d691fffff
luvcarwash_52,2024-06-28,34.172404,-118.83919,CA,West,Thousand Oaks,91362,young,37100,"Oxnard-Thousand Oaks-Ventura, CA",8829a186b5fffff
luvcarwash_53,2024-04-17,30.2940283,-81.6082694,FL,South,Jacksonville,32207,young,27260,"Jacksonville, FL",8844f00967fffff
luvcarwash_54,2024-06-28,33.833923,-84.338848,GA,South,Atlanta,30329,young,12060,"Atlanta-Sandy Springs-Roswell, GA",8844c1322dfffff
luvcarwash_55,2024-06-28,34.168104,-118.617423,CA,West,Los Angeles,91364,young,31080,"Los Angeles-Long Beach-Anaheim, CA",8829a18193fffff
luvcarwash_56,2024-06-28,34.203789,-118.535853,CA,West,Los Angeles,91335,young,31080,"Los Angeles-Long Beach-Anaheim, CA",8829a18f67fffff
luvcarwash_57,2024-07-11,34.274291,-118.779373,CA,West,Simi Valley,93065,young,37100,"Oxnard-Thousand Oaks-Ventura, CA",8829a1ba2dfffff
luvcarwash_58,2024-07-24,34.271329,-118.796781,CA,West,Simi Valley,93065,young,37100,"Oxnard-Thousand Oaks-Ventura, CA",8829a1ba05fffff
luvcarwash_59,2024-07-25,34.1945855,-118.6064073,CA,West,Los Angeles,91303,young,31080,"Los Angeles-Long Beach-Anaheim, CA",8829a18e2dfffff
luvcarwash_60,2024-11-21,40.130566,-75.400818,PA,Northeast,Eagleville,19403,young,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",882aac95adfffff
luvcarwash_61,2024-07-24,34.2016944,-118.4500576,CA,West,Los Angeles,91405,young,31080,"Los Angeles-Long Beach-Anaheim, CA",8829a18833fffff
luvcarwash_62,2024-07-24,30.103818,-81.481478,FL,South,Saint Johns,32259,young,27260,"Jacksonville, FL",8844f0501bfffff
luvcarwash_63,2024-11-21,29.98657,-81.690613,FL,South,Green Cove Springs,32043,young,27260,"Jacksonville, FL",8844f0c56dfffff
luvcarwash_64,2024-08-21,34.093421,-84.006945,GA,South,Buford,30518,young,12060,"Atlanta-Sandy Springs-Roswell, GA",8844c166ebfffff
luvcarwash_65,2024-08-29,33.730664,-84.737809,GA,South,DouglasviIle,30135,young,12060,"Atlanta-Sandy Springs-Roswell, GA",8844c1b4bbfffff
luvcarwash_66,2024-09-12,38.4739594,-122.7318486,CA,West,Santa Rosa,95403,young,42220,"Santa Rosa, CA",8828302661fffff
