n_pre_nbrs,n_pre_nbrs_5km,n_matured_pre_nbrs,nbr_mat_min_strict,nbr_mat_std_strict,nbr_mat_median_strict,nbr_mat_cv_strict,local_recent_wash_mean,op_n_sites_preT,op_n_prior_matured,op_track_mean_strict,op_track_goodfrac_strict,site_key,client_id,t_open,y,realized_mature,express_like,group,oof_prob
2,0,0,,,,,6292.583333333334,3,0,,,gocleancw_000426::2,gocleancw_000426,2023-06-01,0,3585.6923076923076,True,gocleancw_000426,0.4265845672065013
6,0,1,8775.692307692309,,8775.692307692309,,4649.027777777777,34,0,,,luvcarwash_000457::40,luvcarwash_000457,2023-06-01,1,9875.0,True,luvcarwash_000457,0.2425195559069615
9,2,2,5433.692307692308,3209.3945013177736,7703.076923076924,0.416637991982535,4514.277777777777,33,0,,,magnolia_000414::44,magnolia_000414,2023-06-01,0,6797.615384615385,True,magnolia_000414,0.43176747556250755
2,2,2,3108.076923076923,2713.059933754139,5026.5,0.5397513048352012,4755.416666666666,2,1,6944.923076923077,0.0,mainstreet_000067::3,mainstreet_000067,2023-06-01,1,9294.307692307691,True,mainstreet_000067,0.3518381586514628
4,0,2,11304.7,1231.9214341832023,12175.8,0.1011778638104438,11849.916666666668,7,0,,,riptideneuse_000337::8,riptideneuse_000337,2023-06-01,0,6530.076923076923,True,riptideneuse_000337,0.33573263462216
2,0,1,6128.272727272727,,6128.272727272727,,,1,0,,,zelocw_000544::1,zelocw_000544,2023-06-01,0,1556.3076923076924,False,zelocw_000544,0.36579212856544746
4,0,2,4823.076923076923,9711.241354328076,11689.961538461535,0.8307333879907811,9935.944444444443,16,6,9370.307692307691,0.5,192616splash::19,192616splash,2023-07-01,1,11180.846153846154,True,192616splash,0.7517566845473429
2,0,0,,,,,8161.666666666667,4,0,,,bigpeachcw_000300::5,bigpeachcw_000300,2023-07-01,1,8698.76923076923,True,bigpeachcw_000300,0.4642432280214055
6,1,2,2460.0,2038.4800645021728,3901.423076923077,0.5224965414696461,8885.766666666666,6,2,12865.192307692309,1.0,cadillacexpresscw_000080::7,cadillacexpresscw_000080,2023-07-01,1,7799.0,True,cadillacexpresscw_000080,0.4648781996698593
8,2,2,8858.76923076923,1073.4424866705017,9617.807692307691,0.1116098929207161,6927.1875,35,6,10040.564102564103,1.0,championxpresscw_000216::34,championxpresscw_000216,2023-07-01,0,6574.7692307692305,True,championxpresscw_000216,0.32209693225331654
