date,age_in_months,latitude,longitude,month,month_sin,month_cos,less_cluster_id,more_cluster_id,less_cluster_month_avg,less_cluster_month_std,less_cluster_month_mean,less_cluster_month_median,less_cluster_month_p25,less_cluster_month_p75,more_cluster_daily_avg,more_cluster_std,more_cluster_month_avg,more_cluster_month_median,more_cluster_month_p25,more_cluster_month_p75,cluster_id,site_id,monthly_volume,cluster_growth_rate,cluster_age_avg,age_sq,log_age,is_early,is_growth,is_mature,lat_lon_interaction,age_saturation,growth_velocity,p50,std_use,p10,p90
2027-10-01,22,32.6466149,-96.5333187,10,-0.8660254037844386,0.5000000000000001,5,8,17995.666666666668,7400.471570559991,17995.666666666668,15821.0,13021.75,21035.25,13641.166666666666,4873.740598784718,13641.166666666666,14938.5,9969.75,17057.25,5,_forecast_new_,17995.666666666668,0.1777076073144528,17995.666666666668,484,3.1354942159291497,0,0,1,-3151.4860806178685,0.9501511467057719,782.4202898550725,20742.037147988704,7400.471570559991,17135.620696410126,24348.45359956728
2027-11-01,23,32.6466149,-96.5333187,11,-0.5000000000000004,0.8660254037844384,5,8,15261.4,4544.653100072655,15261.4,16659.0,12218.0,17420.0,9905.5,3510.5868066852763,9905.5,10410.0,7677.25,12433.75,5,_forecast_new_,15261.4,-0.15194028191972153,15261.4,529,3.1780538303479458,0,0,1,-3151.4860806178685,0.9576417790898646,635.8916666666667,17640.41083537961,4544.653100072655,15425.699036199036,19855.122634560186
2027-12-01,24,32.6466149,-96.5333187,12,-2.4492935982947064e-16,1.0,5,8,14241.666666666666,3766.1845856693394,14241.666666666666,14822.0,12520.5,16253.0,10819.25,4231.5096194019125,10819.25,10161.0,8826.75,14109.25,5,_forecast_new_,14241.666666666666,-0.06681781051104974,14241.666666666666,576,3.2188758248682006,0,0,1,-3151.4860806178685,0.9640275800758169,569.6666666666666,15434.335196168764,3766.1845856693394,13598.988634812838,17269.68175752469
2028-01-01,25,32.6466149,-96.5333187,1,0.49999999999999994,0.8660254037844387,5,8,14891.5,11907.911387439492,14891.5,13899.5,9097.25,17971.25,10912.166666666666,3828.0050307113647,10912.166666666666,12789.0,7298.0,13261.0,5,_forecast_new_,14891.5,0.04562902282036285,17622.0,625,3.258096538021482,0,0,1,-3151.4860806178685,0.9694656922392512,677.7692307692307,15168.905707182166,3828.0050307113647,13303.432650789035,17034.3787635753
2028-02-01,26,32.6466149,-96.5333187,2,0.8660254037844386,0.5000000000000001,5,8,17490.444444444445,9339.34077051361,17490.444444444445,14652.0,11922.0,20284.0,12818.666666666666,4558.253659488733,12818.666666666666,14456.0,8403.25,15711.75,5,_forecast_new_,17490.444444444445,0.1745253630893091,16633.0,676,3.295836866004329,0,0,1,-3151.4860806178685,0.9740925449386083,616.0370370370371,17273.480059350128,4558.253659488733,15052.140401287703,19494.819717412553
2028-03-01,27,32.6466149,-96.5333187,3,1.0,6.123233995736766e-17,5,8,13736.0,4604.059209002421,13736.0,13561.0,12040.25,16919.25,14953.25,5604.336310150625,14953.25,15516.5,10644.25,19410.5,5,_forecast_new_,13736.0,-0.21465689201722848,15473.333333333334,729,3.332204510175204,0,0,1,-3151.4860806178685,0.9780261147388136,552.6190476190476,18172.591860643446,5604.336310150625,15441.472569609266,20903.711151677628
2028-04-01,28,32.6466149,-96.5333187,4,0.8660254037844387,-0.49999999999999983,5,8,16037.875,6149.174449526886,16037.875,16279.0,11765.0,19930.0,13909.416666666666,5115.350986950649,13909.416666666666,14485.5,9319.25,17456.5,5,_forecast_new_,16037.875,0.16757971753057666,12760.666666666666,784,3.367295829986474,0,0,1,-3151.4860806178685,0.9813680813098666,440.0229885057471,19054.567441908985,5115.350986950649,16561.741710596623,21547.393173221346
2028-05-01,29,32.6466149,-96.5333187,5,0.49999999999999994,-0.8660254037844387,5,8,16629.625,9028.718370328885,16629.625,14577.0,12813.5,18036.5,13164.916666666666,4405.12277113679,13164.916666666666,14462.5,9663.75,15767.5,5,_forecast_new_,16629.625,0.03689703280515655,13885.333333333334,841,3.4011973816621555,0,0,1,-3151.4860806178685,0.9842058329851623,462.8444444444445,16509.0398245708,4405.12277113679,14362.324296840045,18655.755352301552
2028-06-01,30,32.6466149,-96.5333187,6,1.2246467991473532e-16,-1.0,5,8,14086.0,4185.033858883342,14086.0,14331.5,12293.25,16935.25,12389.916666666666,4161.487899523293,12389.916666666666,14245.5,8583.75,14845.75,5,_forecast_new_,14086.0,-0.15295744792802002,14391.666666666666,900,3.4339872044851463,0,0,1,-3151.4860806178685,0.9866142981514303,464.247311827957,16435.691758471163,4161.487899523293,14407.704990223861,18463.678526718464
2028-07-01,31,32.6466149,-96.5333187,7,-0.4999999999999998,-0.8660254037844388,5,8,14755.375,4044.053798479936,14755.375,14188.5,12813.0,18245.5,12446.166666666666,4249.503561023513,12446.166666666666,13547.0,9071.5,15428.0,5,_forecast_new_,14755.375,0.04752058781769142,14611.0,961,3.4657359027997265,0,0,1,-3151.4860806178685,0.9886575939725183,456.59375,15906.832611651753,4249.503561023513,13835.953829482838,17977.711393820668
