key,n_excluded,pred_y1,pred_y2,pred_y3,pred_y4,pred_y5,plateau,model_plateau,anchor_level,n_local_mature,proxy_used,region,mature,mean_y1,mean_y2,mean_y3,mean_y4,mean_y5,size_y1,size_y2,size_y3,size_y4,size_y5,open_idx,open_year,cal,ramp1,ramp2,ramp3,ramp4,ramp5,cal_y1,cal_y2,cal_y3,cal_y4,cal_y5
luvcarwash_000457::58,1,6946.191632061097,8781.131475127828,8314.6890715568,7296.22768570434,6990.997198389203,8940.307823426816,8940.307823426816,19860.416666666668,2,False,West,18535.5,18431.916666666668,18577.916666666668,,,,12.0,12.0,,,,24295,2024,10026.440414422259,0.7769521776263209,0.9821956523821374,0.9300226833095534,0.8161047505082101,0.7819638133790293,7733.697188542233,10180.058125944726,,,
luvcarwash_000457::59,1,9691.044779687398,14271.876315653715,15153.63696656574,15370.8765202442,15641.117456763566,14925.805753108423,9140.10194706914,18610.131868131863,4,True,West,26980.0,26984.416666666668,25968.25,,,,12.0,12.0,,,,24295,2024,12746.815189336276,0.6492811805264956,0.9561879976015015,1.015264248860392,1.0298188770842798,1.047924495031444,8216.381613826243,13123.836243117385,,,
luvcarwash_000457::6,1,8447.33699898182,11455.19151076008,11199.030123016004,10115.903564544677,9718.849197260648,11814.679986172096,8181.028663838827,13897.807692307691,4,True,West,15987.0,15021.916666666666,18827.833333333332,17825.0,15665.416666666666,12245.0,12.0,12.0,12.0,12.0,1.0,24270,2022,9978.119245322949,0.7149865259887348,0.9695727285180165,0.9478911097146391,0.8562147748719672,0.822607908858775,7043.061292264967,10226.540336310332,10344.522665638391,9029.994378450794,
luvcarwash_000457::61,1,10255.204627970015,15148.723401130432,16335.037300525946,16920.21117620696,17410.36253495941,15850.55489971475,9041.43511073888,20351.69230769231,5,True,West,18770.0,20338.333333333332,20712.583333333332,18770.0,,,12.0,12.0,2.0,,,24293,2024,12756.087172751226,0.646993413975341,0.9557219603335811,1.0305656428987173,1.067483837837845,1.098407131177012,8068.89833568271,12993.185655032812,,,
luvcarwash_000457::62,1,8260.732966436388,10387.28372009268,10662.55742586071,10686.988322583142,10611.693550324197,10868.663120704954,9790.850968912737,11219.615384615385,13,True,South,5426.5,4080.3333333333335,5810.25,5224.5,,,12.0,12.0,2.0,,,24293,2024,12284.544492624102,0.7600505117045699,0.9557094193401543,0.9810367022553482,0.9832845313076528,0.9763568373104483,9283.663071023895,12331.582114016279,,,
luvcarwash_000457::63,1,7570.627064607717,9716.94364749242,10087.46780619952,10192.352032776576,10149.537288241556,10212.280625828624,9124.912962664355,10241.653846153846,12,True,South,10444.5,5731.583333333333,10941.0,8759.0,,,12.0,12.0,1.0,,,24294,2024,11277.855745962026,0.7413257960675593,0.9514959491924448,0.9877781639378935,0.9980485658608279,0.9938560895566874,8219.753342958691,11436.682885912473,,,
luvcarwash_000457::7,1,8054.992595638476,11010.28001567864,11035.65139713826,10337.29216181346,10128.40122833464,11371.692940304363,7533.501689765193,13405.153846153846,7,True,West,12905.5,12126.583333333334,14459.0,14589.416666666666,12512.333333333334,10470.0,12.0,12.0,12.0,12.0,1.0,24270,2022,8874.910867669496,0.7083371524295559,0.9682181952570336,0.9704492950231639,0.9090372221690312,0.8906678435219474,6176.113058446522,9036.855823970098,9337.313664722837,8451.283428984052,
luvcarwash_000457::9,2,6908.675461851416,8147.947433759284,8182.314112292173,8159.000398978326,8131.675420481086,8402.574732439922,8402.574732439922,,0,False,South,8121.5,4702.666666666667,7399.083333333333,8180.166666666667,8415.416666666666,6541.0,12.0,12.0,12.0,12.0,1.0,24270,2022,8537.730997299825,0.822209344378576,0.9696965148435283,0.9737865324425636,0.9710119408374643,0.9677599639890173,6896.616733568739,8838.018341632738,9000.546200254854,8730.11942478487,
magicbrush_000533::1,1,3129.8350253741114,3780.791564022531,3671.620719566424,3449.4658335794243,3499.0813730583704,3814.936817954219,3814.936817954219,,0,False,West,1021.0,876.8333333333334,1012.75,1068.909090909091,,,12.0,12.0,11.0,,,24284,2023,2589.8126086784746,0.8204159530622326,0.9910495886141574,0.9624329038129001,0.9041999902449812,0.9172055895108565,2115.884970828123,2736.5730781102584,2726.1021104224214,,
magicbrush_000533::2,2,3070.9573225429976,3684.473512909202,3480.827830546937,3049.878112359226,2949.1204796118477,3712.5922183938033,3712.5922183938033,2009.076923076923,1,False,West,4528.5,3557.25,4047.25,4393.5,4848.0,,12.0,12.0,12.0,1.0,,24282,2023,2089.0811139252833,0.8271733446318542,0.9924261260514179,0.9375734327355953,0.8214955839342651,0.794356154979967,1700.8178980944851,2162.3387866033545,2096.846659922676,,
