key,n_excluded,pred_y1,pred_y2,pred_y3,pred_y4,pred_y5,plateau,model_plateau,anchor_level,n_local_mature,proxy_used,region
mountainedge_000549::1,1,6336.8821982441395,8035.973809369679,8312.819694240228,8396.800125504978,8369.986252130739,8423.847509423387,8423.847509423387,,0,False,South
mountainexp_000478::1,1,6141.525563279113,7075.811618695214,7244.843357789244,7571.571895907934,7795.970255385357,7256.236522266126,7256.236522266126,6269.2307692307695,1,False,South
mountainexp_000478::2,1,7467.213180975764,8547.622692173321,8629.240838325135,8819.435311933275,8954.665946136573,8751.750909169989,8751.750909169989,10248.153846153846,2,False,South
moyoka_000134::3,1,5254.769841803063,5610.3740163750845,5269.361721153322,4975.4509236822405,4858.660667560475,5642.9727017097475,5642.9727017097475,5741.115384615385,14,False,South
mrcleancw_000329::11,1,6796.464281776137,8421.132372179338,8838.104878388167,9256.039212426644,9459.443310616698,8782.900923064055,8460.572212731975,9063.384615384615,13,True,South
mrcleancw_000329::15,1,7293.892060603411,8995.95183521584,9348.54756676928,9657.260872103743,9791.146575347717,9372.805712742978,8823.841749834917,9557.96153846154,4,True,South
mrcleancw_000329::16,1,7444.88082235062,9142.806744714975,9391.791097673064,9526.835415013553,9551.980040753897,9516.659170003755,8956.460456587609,9838.46153846154,13,True,South
mrcleancw_000329::18,1,6145.9960028697,7433.703642946365,7545.083395586314,7559.049363074247,7534.16433640772,7711.053032684145,7711.053032684145,,0,False,South
mrcleancw_000329::3,1,7876.152772735572,9148.32471076742,8761.845841535345,8173.943314907072,7841.690029583256,9400.016108979193,9400.016108979193,10608.23076923077,2,False,South
mrcleancw_000329::4,1,6768.825402914753,8072.705596112824,8145.502919092131,8139.465593282006,8112.414571090368,8346.79092507075,8346.79092507075,,0,False,South
mrdcarwash_000205::3,1,6071.783829322598,7255.036429519859,7630.09257987433,7612.294100684354,7638.104466947374,7684.587830917571,7684.587830917571,,0,False,Midwest
mrsuds_000654::1,1,2803.3391535206606,3252.2194414761475,3164.151337091282,3029.434102407305,2952.4693053260494,3340.727487226257,3340.727487226257,5253.0,13,False,South
napcowash_000528::1,1,4878.800517318642,5784.312670706563,6238.345053383811,6975.24505194657,7459.639080988382,5972.4566828024335,7526.639417150411,5737.538461538462,3,True,South
naplescw_000547::1,1,6394.4928905525485,7514.399160314439,7534.372566081459,7507.71072894333,7482.503878170519,7742.630544987657,7742.630544987657,9476.76923076923,1,False,South
nationwideexp_000560::1,1,6323.05691090101,6779.362217749789,6518.803245100485,6282.119765867876,6263.088049036724,6835.999121057838,6835.999121057838,,0,False,Unknown
nationwideexp_000560::3,1,7781.467544125434,8291.461975063183,7947.747267713586,7645.139997741805,7621.554832909034,8348.13740897332,8348.13740897332,,0,False,Unknown
newdaycw_000610::1,1,6690.741444437259,8321.301143102408,9408.696635963508,11096.228350287973,12214.682159490048,8685.993724707172,8685.993724707172,,0,False,South
oasisautospa_000475::1,1,8437.250998057943,10457.273045396434,10961.479082565018,11470.736935638051,11722.937441182085,10907.237897037592,9500.233602510105,11357.115384615385,8,True,South
obxpress_000458::1,1,5866.40038622191,6936.001367811546,7392.540838500186,8159.829770730376,8678.333624218661,7156.959197807152,7156.959197807152,,0,False,South
oceansexp_000393::1,1,5110.929702552179,6880.355341655692,6966.217859539091,6635.611505616918,6580.3211194323185,7087.081164274083,7087.081164274083,7944.384615384615,2,False,West
olliewash_000159::3,1,7283.378361292831,8327.880760256898,8246.237083546963,8167.084914994837,8135.741020063295,8524.429259908547,8524.429259908547,13283.53846153846,1,False,South
orbitcw_000611::1,1,6451.176203582527,8209.848045891411,8758.4800477687,9295.511161808055,9550.912587456956,8612.65736154204,8630.754488924176,8685.576923076922,12,True,South
orcaexpresscw_000424::1,1,5142.228134593764,6378.3101817255265,6314.675381075191,5930.559834153782,5926.385337455716,6470.008552601422,6470.008552601422,,0,False,West
ottosexpresscw_000299::3,1,7404.883849378576,8346.128070721941,7609.786238076798,6691.3787663723715,6237.191302873895,8512.839742603937,8512.839742603937,8152.36217948718,2,False,South
ottosexpresscw_000299::4,1,4839.462562400514,5553.597766866773,4688.064926303068,3544.6757214052323,3001.520735276636,5689.713914746683,5689.713914746683,4656.2307692307695,1,False,South
overflowexpress_000089::3,1,7439.635802388246,8532.681499686858,8625.090203441905,8833.128222951043,8980.248942756034,8740.618137041152,8740.618137041152,11423.307692307691,1,False,South
papabear_000353::1,1,8027.786453419591,9176.795006036877,9409.597704250766,9905.169372392951,10257.90510981158,9392.814975253154,9392.814975253154,19810.53846153846,1,False,South
papabear_000353::3,1,5566.906182720221,6395.530806537099,6355.787024950059,6316.0441180476655,6301.089149511648,6554.067638134251,8453.823396531237,6315.7692307692305,3,True,South
papabear_000353::4,1,7919.1177819419245,9062.686075036869,9210.302974235734,9544.278384694975,9784.078429214527,9278.557010005392,9278.557010005392,17556.46153846154,1,False,South
