source_file,n_excluded,pred_loo_y1,pred_loo_y2,pred_loo_y3,pred_loo_y4,pred_loo_y5,plateau_loo,proxy_loo,nmat_loo,pred_leaky_y1,pred_leaky_y2,pred_leaky_y3,pred_leaky_y4,pred_leaky_y5,plateau_leaky,proxy_leaky,nmat_leaky
Sonny's Express Exterior Proforma_0695w000009mphMAAQ.xlsx,1,8512.550383642842,10969.023492753571,11685.450028151605,12290.44412252,12538.835250577353,11537.82046275747,True,12,7886.754514102454,9991.101526261156,10559.026615594668,11051.476679486155,11259.864429509733,10471.012747039453,True,13
Sonny's Express Exterior Proforma_0695w000009mpupAAA.xlsx,1,5866.400386221899,6936.001367811532,7392.540838500172,8159.829770730362,8678.333624218643,7156.959197807139,False,0,4649.276027702625,5501.316519700897,5867.091220952349,6479.840278890821,6893.4056250358435,5677.626052375594,False,1
Sonny's Express Exterior Proforma_0695w000009ncIkAAI.xlsx,2,6331.66551920562,9113.50407450814,9547.497821487788,9421.28951232028,9436.868381149854,9495.646362681824,True,10,6211.022597487302,8766.559157006008,9117.39425384232,8939.872755704799,8948.484206288542,9104.385816758117,True,11
Sonny's Express Exterior Proforma_0695w00000A9eDQAAZ.xlsx,1,7000.201632240529,8715.179581751778,8950.35131894133,9012.777445635662,8983.660928988696,9099.209987031523,False,0,7528.143731331656,9102.532024867542,9237.691593695792,9254.253749111687,9223.781478140983,9441.455794368723,False,1
Sonny's Express Exterior Proforma_0695w00000AA9l6AAD.xlsx,1,5407.15497313001,7196.127188174859,7331.548330720943,7066.014926243745,7072.184179589051,7397.095535277145,False,0,4481.100261722017,5155.803097864288,4933.894490897311,4485.329250923394,4473.004997242923,5149.7049488775765,False,1
Sonny's Express Exterior Proforma_0695w00000AAVe5AAH.xlsx,1,7683.988586054845,9677.829047094476,10840.388183766949,12515.643715242692,13574.1323394507,10129.92437813315,True,4,9042.113660240802,11373.247419772886,12727.994421832984,14683.914051818572,15920.79621989422,11901.10242890586,True,5
Sonny's Express Exterior Proforma_0695w00000AOKRXAA5.xlsx,1,9857.19452640092,14379.410523784249,15255.051859531066,15460.82108985114,15735.683970632634,15015.241322171403,True,6,9347.5278100681,13826.51681013871,14793.472355488995,15127.201880695691,15442.726344839306,14470.202775003272,True,6
Sonny's Express Exterior Proforma_0695w00000AP7usAAD.xlsx,1,6365.427662563919,8518.725899011182,8545.225104839485,8041.426013230862,7925.921006962243,8765.414165765362,True,6,5909.966079569375,7689.358826008577,7605.697698639825,7052.498593969033,6926.433870501632,7871.416961833179,True,7
Sonny's Express Exterior Proforma_0695w00000CDgIcAAL.xlsx,1,4120.501730076341,5823.6661751420215,6023.908248747368,5846.015001903169,5815.396737518818,6049.448200054524,True,6,4768.656549881128,6454.886693472152,6578.866051543419,6309.0872004840485,6277.39347368287,6655.3122803084425,True,7
Sonny's Express Exterior Proforma_0695w00000CE2D0AAL.xlsx,1,5768.849895916405,6963.390008449388,7357.427453752328,7363.881719594233,7387.848822580028,7384.824588979415,False,0,4208.715449943739,4931.256611991174,5138.893299584118,5094.1144813259425,5112.776531818375,5210.5174479239895,False,0
Sonny's Express Exterior Proforma_0695w00000CFRZEAA5.xlsx,1,2961.956455747652,3156.1311521772363,3149.694058381215,3068.012640498983,3055.8536908931633,3290.0014799068554,True,4,2793.4352370134493,2972.779060318677,2964.5963080870138,2886.7581062006957,2875.258179623425,3097.91219570435,True,5
Sonny's Express Exterior Proforma_0695w00000D8SHiAAN.xlsx,1,6512.149007319026,8296.08986908554,8805.369608831394,9259.061675698407,9456.431153953628,8705.079082945807,True,11,6430.781461049802,8167.502184840829,8655.754734833881,9092.653017725012,9283.618129147631,8564.54025811095,True,12
Sonny's Express Exterior Proforma_0695w00000D8vi4AAB.xlsx,1,5449.091493996304,6116.082418895952,6434.6570821306805,6666.174789249136,6953.755676954427,6426.810872440843,False,1,5334.58398761608,6039.027309399297,6400.694502678766,6686.239766272135,6995.83448912045,6352.970822950428,False,1
