source_file,n_excluded,pred_loo_y1,pred_loo_y2,pred_loo_y3,pred_loo_y4,pred_loo_y5,plateau_loo,proxy_loo,nmat_loo,pred_leaky_y1,pred_leaky_y2,pred_leaky_y3,pred_leaky_y4,pred_leaky_y5,plateau_leaky,proxy_leaky,nmat_leaky
"Sonny's Express Exterior Proforma 45430 Schenherr Rd., Shelby Twp._0695w00000Q9YSoAAN.xlsx",1,2927.2457964533187,3321.4389909572583,3487.315254792976,3563.465858416344,3669.6942305522266,3495.156466069802,True,3,4855.064966832347,5583.950021332708,5916.882155580305,6100.01781775974,6296.193577710947,5886.290069661394,False,4
"Sonny's Express Exterior Proforma 5001 Collin McKinney Pkwy., McKinney, TX_0695w00000U9kNNAAZ.xlsx",1,8437.250998057929,10457.273045396416,10961.479082564998,11470.73693563803,11722.93744118206,10907.237897037572,True,8,7887.989949257702,10054.999623223528,10717.041321961007,11361.973582706973,11669.786600603,10552.09035792835,True,9
"Sonny's Express Exterior Proforma 510 E Broadway, Louisville, KY_0695w00000U7IlyAAF.xlsx",1,4879.145697914383,5729.725532180389,6140.998913570466,6374.2060195319755,6573.21314779289,6055.921576659653,True,4,3669.129383592502,4023.77036481185,3990.645177537592,4055.1730422385185,4125.2490569727315,4075.712628362274,True,5
"Sonny's Express Exterior Proforma 5958 N Main St., Joplin, MO_0695w00000SiquUAAR.xlsx",1,4697.2000375405905,5887.580253311204,6941.448255118525,8173.3569203316865,8989.137417467033,6271.953254428476,False,0,4884.920859458761,5845.351069647061,6683.6040219857605,7654.51079253052,8351.962494865626,6192.540948231559,False,0
"Sonny's Express Exterior Proforma 710 Jamacha Rd., El Cajon_0695w00000Sia3PAAR.xlsx",1,4406.592261418593,5736.038926602264,5744.638612089588,5436.373557475793,5404.309690090311,5872.361114974621,False,3,4731.984713784729,5655.03328457219,5407.093367624216,4860.332281143624,4770.205403459814,5693.593626036417,False,3
"Sonny's Express Exterior Proforma 7326 Reseda Blvd., Reseda_0695w00000QAYyrAAH.xlsx",1,9799.01411705003,14486.996316939774,15404.970267283526,15567.018812454948,15770.766485589407,15160.203280186632,True,5,9335.725374433763,13716.832424589937,14535.182361450314,14635.111567595191,14809.273447206948,14339.996427477708,True,6
"Sonny's Express Exterior Proforma 9520 Cullen Blvd., Houston_0695w00000Sho0XAAR.xlsx",1,7639.358957170968,9544.671301208567,9662.37428558288,9511.247043054853,9350.210149112494,9973.02618121304,True,7,7538.751901455905,9293.557009411636,9341.468006031731,9148.967021835077,8979.066001014267,9681.856424614414,True,8
"Sonny's Express Exterior Proforma Buford Dr., Buford_0695w00000OxYTfAAN.xlsx",1,6168.486979816397,7748.604193639128,7960.827946998567,7990.443459416037,7941.5284370291565,8105.913380806307,True,15,6165.004085339772,7730.713155946053,7936.615433765102,7963.214712635786,7914.088262541499,8084.1117817067,True,15
"Sonny's Express Exterior Proforma Cirby Way, Roseville_0695w00000OxyMQAAZ.xlsx",1,5276.457321443486,6729.992298966005,6741.289126734064,6399.526836345419,6399.240361480428,6863.659565925994,False,0,4463.08601106065,5538.119349620819,5483.799877206169,5151.0380701955355,5147.462445324264,5618.177674408974,False,0
Sonny's Express Exterior Proforma Fischer Park Dr._0695w00000OwhmfAAB.xlsx,1,4934.980761580788,5754.123656099204,5801.988805253561,5861.542908332987,5896.419652709293,5917.873007817742,True,4,5393.69440947878,6029.11542029255,5946.518951294373,5926.510096347959,5943.170073617682,6136.77861753434,True,4
Sonny's Express Exterior Proforma Update_0695w00000HJAnSAAX.xlsx,1,5256.291682384993,5805.97569137916,5876.242072472963,5703.131643127818,5729.225060469499,6087.967993995477,False,0,6551.386409915576,6852.129430892673,6733.67811654902,6390.205148202519,6425.764196004445,7130.826167343904,False,1
"Sonny's Express Exterior Proforma _3373 SE Federal Hwy, Stuart, FL 34997_069Uc0000038IUHIA2.xlsx",2,7329.226651407622,8507.52894829062,8289.769189494184,7934.37599169225,7728.802565665147,8740.225519094036,False,2,6856.289635951503,8575.929126739627,8591.89673448945,8293.476651835237,8053.699606801947,8963.018272831121,True,3
Sonny's Express Exterior Proforma_0695w0000097m9tAAA.xlsx,1,8509.8261628374,11033.19303298602,11189.564024003816,10788.210947905942,10853.376473177408,11287.048719902185,False,2,10878.472399677465,14616.533274477391,15034.30312215708,14677.685025985216,14778.795515233336,15050.535680016988,True,3
Sonny's Express Exterior Proforma_0695w0000097obzAAA.xlsx,1,5193.5338345655,5556.280787386535,5308.417231794624,5144.840858379535,5102.227788371526,5591.596707656516,False,2,2182.5710258521513,2348.4318113452036,2250.151005174133,2183.953257481678,2166.025046754719,2366.9549577406037,True,3
Sonny's Express Exterior Proforma_0695w0000097tEHAAY.xlsx,1,7787.631726058527,9712.771996508369,10822.407253151969,12455.355651197991,13498.829798924024,10144.734182011216,True,4,9169.254610399264,11560.2152849573,12977.338963447348,15029.606195834323,16331.754319934422,12102.91473623864,True,5
Sonny's Express Exterior Proforma_0695w0000097wpaAAA.xlsx,1,8116.913267284478,10505.95133162982,10946.742851873942,11127.0323399629,11125.375213942976,11061.136368003898,True,9,8005.718576322364,10265.369016963925,10635.81169163389,10761.780359243923,10740.950876423138,10786.424788723154,True,10
Sonny's Express Exterior Proforma_0695w000009med9AAA.xlsx,1,5769.4771594561025,7408.396740425475,7441.250961706101,7081.575929171177,7082.332575399506,7565.146817241549,False,0,7283.519102230171,8721.230876228374,8501.604423192963,7868.980740560762,7856.310322264759,8784.204779873486,False,0
