site_key,client_id,site_id,latitude,longitude,,created_date,first_hour,last_hour,hours_observed,span_days,span_years,washes_year_1,washes_year_2,washes_year_3,washes_year_4,washes_year_5
soapiescw_000063___1,soapiescw_000063,1,32.50014,-94.735368,,2018-01-24 20:19:45,2020-01-01 6:00:00,2026-07-09 23:00:00,11083,2381,6.518822724,,2112,47927,8358,
cadillacexpresscw_000080___1,cadillacexpresscw_000080,1,29.917431,-95.488814,,2018-06-12 12:26:42,2020-01-01 0:00:00,2026-07-09 0:00:00,31729,2381,6.518822724,,60377,137806,146953,127034
superiorflagshipcw_000173___1,superiorflagshipcw_000173,1,30.039638,-95.252825,,2019-07-22 20:25:25,2020-01-01 6:00:00,2026-07-09 23:00:00,26597,2381,6.518822724,23014,42349,42365,38248,40562
venicecarwash___1,venicecarwash,1,27.088663,-82.443852,,2017-08-01 16:12:12,2020-01-01 13:00:00,2026-07-09 19:00:00,19275,2381,6.518822724,,,13515,19654,21594
snapclean___1,snapclean,1,33.160464,-96.645461,,2016-12-01 19:28:33,2020-01-01 6:00:00,2026-07-10 0:00:00,27806,2381,6.518822724,,,,112626,124564
coastalcarwash_000096___1,coastalcarwash_000096,1,33.429109,-79.147888,,2018-08-17 14:23:17,2020-01-01 0:00:00,2026-07-09 4:00:00,31755,2381,6.518822724,,68001,131861,141309,126467
soapmyride_000113___1,soapmyride_000113,1,36.949013,-86.476866,,2018-10-26 12:23:18,2020-01-01 6:00:00,2026-07-10 5:00:00,25371,2381,6.518822724,,30026,46132,47837,38651
classic_000005___1,classic_000005,1,41.795758,-71.449733,,2016-07-05 20:18:49,2020-01-01 0:00:00,2026-07-09 4:00:00,31146,2381,6.518822724,,,,87405,180293
citgocarwash_000035___1,citgocarwash_000035,1,40.654967,-76.100837,,2017-05-12 12:32:01,2020-01-01 0:00:00,2026-07-09 4:00:00,18506,2381,6.518822724,,,9003,26172,26087
circlek_000060___1,circlek_000060,1,37.080489,-84.616969,,2018-01-10 19:17:11,2020-01-01 0:00:00,2026-07-09 4:00:00,30798,2381,6.518822724,,345,20601,23530,24753
speedyfalcon___1,speedyfalcon,1,38.943765,-94.814651,,2016-09-13 14:34:46,2020-01-01 0:00:00,2026-07-09 23:00:00,29349,2381,6.518822724,,,,90588,142139
speedyfalcon___2,speedyfalcon,2,38.924497,-94.755243,,2018-08-23 17:54:07,2020-01-01 6:00:00,2026-07-09 22:00:00,25551,2381,6.518822724,,33048,48874,57327,38311
steese___2,steese,2,64.837969,-147.811485,,2016-09-13 17:34:00,2020-01-01 0:00:00,2026-07-09 21:00:00,10534,2381,6.518822724,,,,16873,25259
caliberocala_000153___1,caliberocala_000153,1,29.210006,-82.066799,,2019-04-23 19:23:48,2020-01-01 0:00:00,2026-07-09 4:00:00,33251,2381,6.518822724,44450,167680,210943,192115,160010
chalmette___1,chalmette,1,29.953172,-89.980005,,2016-09-13 14:26:31,2020-01-01 0:00:00,2026-07-09 0:00:00,32898,2381,6.518822724,,,,71560,91780
superiorcarwash___1,superiorcarwash,1,29.860167,-95.644515,,2017-07-17 10:09:46,2020-01-01 6:00:00,2026-07-09 23:00:00,24576,2381,6.518822724,,,15715,29144,30301
westchestercw_000036___9,westchestercw_000036,9,39.938846,-75.197632,,2018-08-06 13:57:05,2020-01-01 14:00:00,2026-07-09 14:00:00,18487,2381,6.518822724,,4132,278,70247,79001
superiortexascw_000124___1,superiortexascw_000124,1,29.692911,-95.644481,,2018-11-21 21:51:17,2020-01-01 0:00:00,2026-07-09 22:00:00,26006,2381,6.518822724,,29172,36984,37474,33823
tomball___1,tomball,1,30.079872,-95.628853,,2016-09-13 14:34:06,2020-01-01 6:00:00,2026-07-09 23:00:00,27306,2381,6.518822724,,,,28156,47978
caliberocala_000153___3,caliberocala_000153,3,34.365301,-77.709765,,2019-07-15 20:45:13,2020-01-01 0:00:00,2026-07-09 4:00:00,32465,2381,6.518822724,40353,120486,158086,158887,143741
tsunamicarwash_000122___1,tsunamicarwash_000122,1,42.71851,-87.857625,,2018-11-20 12:36:17,2020-01-01 0:00:00,2026-07-09 13:00:00,28467,2381,6.518822724,,52326,88393,101262,105981
westchestercw_000036___8,westchestercw_000036,8,39.916729,-75.217104,,2018-04-26 17:50:15,2020-01-01 13:00:00,2026-07-09 17:00:00,25824,2381,6.518822724,,27919,121298,120662,114106
westchestercw_000036___7,westchestercw_000036,7,39.957375,-75.213492,,2018-04-26 17:48:46,2020-01-01 15:00:00,2026-07-09 17:00:00,23756,2381,6.518822724,,16842,91797,87077,71532
haffners_000014___8,haffners_000014,8,42.812732,-71.102444,,2016-09-27 20:22:34,2020-01-01 5:00:00,2026-07-09 5:00:00,28771,2381,6.518822724,,,,66910,89742
gogreennclean_000054___1,gogreennclean_000054,1,39.861227,-75.687253,,2017-12-11 13:13:25,2020-01-01 5:00:00,2026-07-09 5:00:00,28320,2381,6.518822724,,,73209,113162,122994
greenwave___1,greenwave,1,40.740817,-73.320768,,2016-09-13 13:35:39,2020-01-01 5:00:00,2026-07-09 5:00:00,18043,2381,6.518822724,,,,16019,35047
haffners_000014___1,haffners_000014,1,42.698541,-71.159685,,2016-09-27 20:03:51,2020-01-01 5:00:00,2026-07-09 5:00:00,28050,2381,6.518822724,,,,32790,45236
haffners_000014___10,haffners_000014,10,42.733264,-71.426009,,2016-09-27 20:24:34,2020-01-01 5:00:00,2026-07-09 5:00:00,28385,2381,6.518822724,,,,68862,88316
mainstreet_000067___1,mainstreet_000067,1,33.9971,-96.399948,,2018-03-08 20:27:44,2020-01-01 6:00:00,2026-07-09 23:00:00,27823,2381,6.518822724,,9269,59230,75848,87468
haffners_000014___3,haffners_000014,3,42.689064,-71.158534,,2016-09-27 20:13:53,2020-01-01 5:00:00,2026-07-09 5:00:00,28856,2381,6.518822724,,,,66063,91622
haffners_000014___4,haffners_000014,4,42.696274,-71.119302,,2016-09-27 20:15:37,2020-01-01 5:00:00,2026-07-09 5:00:00,27584,2381,6.518822724,,,,33751,44466
haffners_000014___5,haffners_000014,5,42.582298,-71.196264,,2016-09-27 20:17:18,2020-01-01 5:00:00,2026-07-09 5:00:00,26770,2381,6.518822724,,,,34731,45703
haffners_000014___6,haffners_000014,6,42.744176,-71.153871,,2016-09-27 20:18:23,2020-01-01 5:00:00,2026-07-09 5:00:00,28881,2381,6.518822724,,,,48221,69935
haffners_000014___7,haffners_000014,7,42.663743,-71.303692,,2016-09-27 20:19:31,2020-01-01 5:00:00,2026-07-09 5:00:00,28655,2381,6.518822724,,,,53713,70971
peachyclean_000083___1,peachyclean_000083,1,32.819175,-86.610137,,2018-06-25 14:52:06,2020-01-01 6:00:00,2026-07-10 0:00:00,25864,2381,6.518822724,,23005,54341,55254,56301
mrbs___2,mrbs,2,33.741775,-87.047874,,2018-11-26 13:47:44,2020-01-01 0:00:00,2026-07-09 23:00:00,22309,2381,6.518822724,,29153,48445,52856,51930
jammincw_000186___1,jammincw_000186,1,28.1511,82.4615,,2019-08-29 14:42:54,2020-01-01 15:00:00,2026-07-10 5:00:00,31643,2381,6.518822724,89212,186058,191152,179072,160125
jimmysudscw_000196___1,jimmysudscw_000196,1,39.699796,-105.110889,,2019-09-13 14:41:44,2020-01-01 21:00:00,2026-07-10 1:00:00,29907,2381,6.518822724,35606,72798,88315,101038,105096
platinumautospa_000207___1,platinumautospa_000207,1,45.458589,-98.455046,,2019-11-04 14:29:52,2020-01-01 16:00:00,2026-07-10 1:00:00,32687,2381,6.518822724,99800,104879,94283,93500,110217
precisionexpress_000019___1,precisionexpress_000019,1,32.488596,-95.398192,,2016-11-08 13:32:42,2020-01-01 0:00:00,2026-07-09 23:00:00,26910,2381,6.518822724,,,,51315,71134
mintcondition_000103___1,mintcondition_000103,1,32.997482,-96.848689,,2018-09-24 15:49:17,2020-01-01 6:00:00,2026-07-10 0:00:00,27862,2381,6.518822724,,59402,99802,107083,89962
pvcarwash_000081___1,pvcarwash_000081,1,33.601472,-111.987999,,2018-06-20 19:02:06,2020-01-01 16:00:00,2026-07-10 0:00:00,23091,2381,6.518822724,,5375,21753,33479,30035
