site_key,client_id,site_id,latitude,longitude,tunnel_length_actual_ft,p25_daily_peak_volume_cars,median_daily_peak_volume_cars,p75_daily_peak_volume_cars,p90_daily_peak_volume_cars,max_daily_peak_volume_cars,washes_year_2020,washes_year_2021,washes_year_2022,washes_year_2023,washes_year_2024,washes_year_2025,washes_year_2026,created_date,name,code,address1,country,state,city,postal_code
seawaycarwash_000181___3,seawaycarwash_000181,3,44.43221,-73.211566,102.4,6.0,8.0,12.0,16.0,26.0,18859.0,23158.0,22925.0,25034.0,24933.0,24106.0,15494.0,2019-10-22 18:44:55,Seaway Car Wash South #2,SCWS2,1341 Shelburne Rd,US,VT,South Burlington,5403
radiantcw_000133___1,radiantcw_000133,1,28.05735,-81.812829,140.8,44.0,54.0,67.0,78.0,106.0,126289.0,168197.0,171129.0,162809.0,154575.0,143389.0,82562.0,2019-01-21 17:02:36,Radiant Auburndale,01AUB,2049 US-92,US,FL,Auburndale,33823
superiorshinecw_000192___1,superiorshinecw_000192,1,42.500348,-82.897306,115.2,32.0,49.0,62.0,73.0,100.0,89771.0,117659.0,124440.0,114760.0,120146.0,122080.0,64054.0,2019-09-13 13:08:22,Superior Shine Car Wash,DEF,28100 Harper Ave,US,MI,St. Clair Shores,48081
olliewash_000159___1,olliewash_000159,1,37.734787,-87.121231,118.4,37.0,54.0,65.0,70.0,80.0,78674.0,141332.0,168851.0,171650.0,160926.0,160469.0,86195.0,2019-06-04 15:22:05,Ollie Wash Owensboro,OWO,3850 Frederica St,US,KY,Owensboro,42301
oceanstatecw_000169___1,oceanstatecw_000169,1,41.719365,-71.443294,83.2,16.0,26.0,35.0,44.0,72.0,30957.0,51910.0,65003.0,64711.0,69034.0,64230.0,34738.0,2019-07-16 14:03:06,Ocean State Car Wash,DEF,2313 Post Rd,US,RI,Warwick,2886
championxpresscw_000216___1,championxpresscw_000216,1,35.189162,-106.616062,192.0,32.0,40.0,49.0,57.0,93.0,67683.0,101460.0,102414.0,116253.0,102400.0,98422.0,54571.0,2019-11-25 16:05:06,Alameda,NMALAL,395 Alameda Blvd NW,US,NM,Albuquerque,87114
monstersexpress_000220___1,monstersexpress_000220,1,27.192223,-80.243057,144.0,31.0,40.0,50.0,60.0,91.0,71685.0,113864.0,118994.0,126230.0,120468.0,115700.0,48073.0,2019-12-10 22:04:24,Monster Express Car Wash,MONS,2160 NW Federal Hwy,US,FL,Stuart,34994
championxpresscw_000216___2,championxpresscw_000216,2,35.538227,-108.758101,137.6,42.0,56.0,72.0,87.0,115.0,144840.0,189285.0,193037.0,130538.0,98666.0,117119.0,77480.0,2019-11-25 16:11:25,Gallup 49,NMGA49,1060 US-491,US,NM,Gallup,87301
iaislandcarwash_000198___1,iaislandcarwash_000198,1,30.647918,-81.459269,86.4,20.0,27.0,33.0,39.0,60.0,36659.0,58056.0,65913.0,59361.0,59379.0,61073.0,34012.0,2019-09-25 13:37:46,Castaway Car Wash,CAS,1686 S 8th St,US,FL,Fernandina Beach,32034
carlswash_000218___1,carlswash_000218,1,36.77251,-76.25208,99.2,17.0,24.0,32.0,42.0,76.0,53165.0,70314.0,64070.0,55690.0,58645.0,61245.0,34378.0,2019-12-03 17:28:51,Carl's Wash,DEF,1538 Sam's Cir,US,VA,Chesapeake,23320
