month_offset,year_month,site_age_months,calendar_month,calendar_month_sin,calendar_month_cos,latitude,longitude,region_code,cbsa_code,peer_ref_level,peer_recent,peer_seasonal,peer_count,peer_level_resolved,peer_trend_ratio,h3_ref_level,h3_seasonal_factor,h3_peer_count,h3_used,h3_vs_cbsa_ratio,ramp_factor,anchor_wash,log_anchor,maturity_indicator,site_train_mean,site_train_median,site_train_max,site_train_std,site_train_recent6,site_train_months,site_vs_peer_ratio,predicted_washes,predicted_washes_low,predicted_washes_high,cbsa_id,cbsa_name,sample_label,sample_lat,sample_lon
31,2029-01,31,1,0.49999999999999994,0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.8767505427385519,15,cbsa,0.953373227897699,10527.75,0.8767505427385519,0,0,,1.0,9230.21052631579,9.13034547017747,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8345.026185910565,2428.7328912058856,28673.166281762864,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
32,2029-02,32,2,0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,0.9319130268500917,15,cbsa,0.953373227897699,10527.75,0.9319130268500917,0,0,,1.0,9810.947368421053,9.191356041362878,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9664.49243729768,2812.749790876087,33206.79797881774,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
33,2029-03,33,3,1.0,6.123233995736766e-17,32.7767,-96.797,2,0,10527.75,10036.875,1.2569037468644897,15,cbsa,0.953373227897699,10527.75,1.2569037468644897,0,0,,1.0,13232.368421052632,9.490496829468592,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11369.416001966938,3308.9500239556896,39064.84512910638,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
34,2029-04,34,4,0.8660254037844387,-0.49999999999999983,32.7767,-96.797,2,0,10527.75,10036.875,0.9533043622806392,15,cbsa,0.953373227897699,10527.75,0.9533043622806392,0,0,,1.0,10036.15,9.214048488406723,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10367.125706505341,3017.243880332795,35621.016953601174,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
35,2029-05,35,5,0.49999999999999994,-0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.960575621571561,15,cbsa,0.953373227897699,10527.75,0.960575621571561,0,0,,1.0,10112.7,9.221646219345152,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9805.137418973032,2853.6830468501307,33690.04834333805,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
36,2029-06,36,6,1.2246467991473532e-16,-1.0,32.7767,-96.797,2,0,10527.75,10036.875,1.0005755763396285,15,cbsa,0.953373227897699,10527.75,1.0005755763396285,0,0,,1.0,10533.809523809523,9.262440245753009,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11480.036609435188,3341.1449987607925,39444.93298041618,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
37,2029-07,37,7,-0.4999999999999998,-0.8660254037844388,32.7767,-96.797,2,0,10527.75,10036.875,0.9761141473045726,15,cbsa,0.953373227897699,10527.75,0.9761141473045726,0,0,,1.0,10276.285714285714,9.237691468570308,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10282.55086258478,2992.6292535332673,35330.421273136715,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
38,2029-08,38,8,-0.8660254037844384,-0.5000000000000004,32.7767,-96.797,2,0,10527.75,10036.875,1.0472232682106586,15,cbsa,0.953373227897699,10527.75,1.0472232682106586,0,0,,1.0,11024.904761904761,9.308002761519795,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12294.474761159954,3578.1787339318744,42243.30892680247,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
39,2029-09,39,9,-1.0,-1.8369701987210297e-16,32.7767,-96.797,2,0,10527.75,10036.875,0.9419564311635267,15,cbsa,0.953373227897699,10527.75,0.9419564311635267,0,0,,1.0,9916.681818181818,9.202074485286413,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10038.78662360798,2921.6842125336,34492.85738753382,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
40,2029-10,40,10,-0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,1.0668773652317145,15,cbsa,0.953373227897699,10527.75,1.0668773652317145,0,0,,1.0,11231.818181818182,9.326594967435454,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12518.92498447012,3643.5026319817434,43014.51065002978,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
41,2029-11,41,11,-0.5000000000000004,0.8660254037844384,32.7767,-96.797,2,0,10527.75,10036.875,0.8048426129212621,15,cbsa,0.953373227897699,10527.75,0.8048426129212621,0,0,,1.0,8473.181818181818,9.04477938696079,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8432.588120153892,2454.216879509413,28974.02548155191,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
42,2029-12,42,12,-2.4492935982947064e-16,1.0,32.7767,-96.797,2,0,10527.75,10036.875,0.8155804680703163,15,cbsa,0.953373227897699,10527.75,0.8155804680703163,0,0,,1.0,8586.227272727272,9.05803117739191,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8178.369516784749,2380.229204719188,28100.540830463833,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
43,2030-01,43,1,0.49999999999999994,0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.8767505427385519,15,cbsa,0.953373227897699,10527.75,0.8767505427385519,0,0,,1.0,9230.21052631579,9.13034547017747,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8411.813813170884,2448.170733992599,28902.6458183559,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
44,2030-02,44,2,0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,0.9319130268500917,15,cbsa,0.953373227897699,10527.75,0.9319130268500917,0,0,,1.0,9810.947368421053,9.191356041362878,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9650.196665754875,2808.5891555733724,33157.67829657336,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
45,2030-03,45,3,1.0,6.123233995736766e-17,32.7767,-96.797,2,0,10527.75,10036.875,1.2569037468644897,15,cbsa,0.953373227897699,10527.75,1.2569037468644897,0,0,,1.0,13232.368421052632,9.490496829468592,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11369.983532529495,3309.1151978105513,39066.79514074537,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
46,2030-04,46,4,0.8660254037844387,-0.49999999999999983,32.7767,-96.797,2,0,10527.75,10036.875,0.9533043622806392,15,cbsa,0.953373227897699,10527.75,0.9533043622806392,0,0,,1.0,10036.15,9.214048488406723,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10462.789701753209,3045.0858890439163,35949.71450131541,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
47,2030-05,47,5,0.49999999999999994,-0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.960575621571561,15,cbsa,0.953373227897699,10527.75,0.960575621571561,0,0,,1.0,10112.7,9.221646219345152,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,9971.790406135935,2902.1856617398994,34262.66114356415,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
48,2030-06,48,6,1.2246467991473532e-16,-1.0,32.7767,-96.797,2,0,10527.75,10036.875,1.0005755763396285,15,cbsa,0.953373227897699,10527.75,1.0005755763396285,0,0,,1.0,10533.809523809523,9.262440245753009,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11738.550859937879,3416.3828768757085,40333.17729813729,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
