client_name,client_id,site_id,year,month,mem_purchase_count,mem_wash_count,mem_revenue,ret_wash_count,ret_revenue,ASP_mem,ASP_ret,mem_revenue_pct,mem_count_pct,timezone,address1,state,postal_code,region,lat,lon,operational_start,imputed
Cliff's Car Wash #2,000004_cliff,3,2023,10,457.0,1178.0,13271.0,929.0,11434.83,29.04,12.31,53.72,55.91,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2023,11,430.0,922.0,10249.0,814.0,11182.18,23.83,13.74,47.82,53.11,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2023,12,460.0,1054.0,11360.0,1025.0,13020.76,24.7,12.7,46.59,50.7,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,1,476.0,1154.0,12509.0,894.0,12982.85,26.28,14.52,49.07,56.35,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,2,462.0,965.0,10687.0,807.0,10341.41,23.13,12.81,50.82,54.46,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,3,508.0,1249.0,13994.0,1037.0,16237.54,27.55,15.66,46.29,54.64,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,4,550.0,1587.0,17917.0,1319.0,16438.29,32.58,12.46,52.15,54.61,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,5,576.0,1798.0,20311.0,1347.0,17755.96,35.26,13.18,53.36,57.17,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,6,647.0,2247.0,25353.0,1994.0,29678.7,39.19,14.88,46.07,52.98,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,7,686.0,2481.0,28399.0,2024.0,28102.87,41.4,13.88,50.26,55.07,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,8,703.0,2400.0,27734.0,1676.0,22867.65,39.45,13.64,54.81,58.88,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,9,748.0,2393.0,27560.0,1905.0,24261.74,36.84,12.74,53.18,55.68,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,10,761.0,2067.0,23668.0,1465.0,20571.75,31.1,14.04,53.5,58.52,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,11,728.0,1548.0,17728.0,900.0,12006.63,24.35,13.34,59.62,63.24,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2024,12,714.0,1633.0,18780.0,1015.0,13378.49,26.3,13.18,58.4,61.67,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2025,1,756.0,1988.0,21924.0,1622.0,20551.83,29.0,12.67,51.62,55.07,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2025,2,753.0,1653.0,18716.0,918.0,11670.44,24.86,12.71,61.59,64.29,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2025,3,778.0,2307.0,25895.0,1335.0,16977.24,33.28,12.72,60.4,63.34,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2025,4,790.0,2703.0,30376.0,1689.0,22444.81,38.45,13.29,57.51,61.54,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2025,5,802.0,2604.0,29793.0,1577.0,20912.43,37.15,13.26,58.76,62.28,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2025,6,809.0,2825.0,32335.0,1966.0,24585.13,39.97,12.51,56.81,58.96,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2025,7,855.0,3027.0,34335.0,2380.0,28858.8,40.16,12.13,54.33,55.98,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2025,8,846.0,2788.0,31681.0,1972.0,25085.06,37.45,12.72,55.81,58.57,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2025,9,865.0,2604.0,29874.0,1577.0,22681.0,34.54,14.38,56.84,62.28,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2025,10,820.0,1843.0,21103.0,921.0,11934.48,25.74,12.96,63.88,66.68,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2025,11,810.0,1767.0,19690.0,1329.0,17313.71,24.31,13.03,53.21,57.07,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
